,Question Number,Solution
0,question_0,9
1,question_1,15
2,question_2,16
3,question_3,6
4,question_4,14
5,question_5,11
6,question_6,8
7,question_7,4
8,question_8,18
9,question_9,11
10,question_10,24
11,question_11,19
12,question_12,45
13,question_13,0
14,question_14,2
15,question_15,8
16,question_16,7
17,question_17,3
18,question_18,7
19,question_19,12
20,question_20,6
21,question_21,5
22,question_22,4
23,question_23,3
24,question_24,1
25,question_25,2
26,question_26,5
27,question_27,1
28,question_28,3
29,question_29,Mrs. Hilt
30,question_30,13
31,question_31,0.44999999999999996
32,question_32,55
33,question_33,38
34,question_34,18
35,question_35,12
36,question_36,5
37,question_37,15
38,question_38,12
39,question_39,6
40,question_40,7
41,question_41,12
42,question_42,6
43,question_43,4
44,question_44,6
45,question_45,10
46,question_46,16
47,question_47,14
48,question_48,15
49,question_49,18
50,question_50,11
51,question_51,7
52,question_52,18
53,question_53,7
54,question_54,7
55,question_55,7
56,question_56,5
57,question_57,28
58,question_58,22
59,question_59,38
60,question_60,929
61,question_61,62
62,question_62,46
63,question_63,113
64,question_64,616
65,question_65,803
66,question_66,700
67,question_67,20
68,question_68,35
69,question_69,33
70,question_70,40
71,question_71,43
72,question_72,32
73,question_73,60
74,question_74,77
75,question_75,Tessa needs more apples to make a pie
76,question_76,19
77,question_77,20
78,question_78,37
79,question_79,0.21
80,question_80,17
81,question_81,37
82,question_82,24
83,question_83,36
84,question_84,22
85,question_85,31
86,question_86,69
87,question_87,6
88,question_88,12
89,question_89,79
90,question_90,-31
91,question_91,66
92,question_92,14
93,question_93,9
94,question_94,6
95,question_95,23
96,question_96,17
97,question_97,18
98,question_98,32
99,question_99,22
100,question_100,42
101,question_101,50
102,question_102,13
103,question_103,7
104,question_104,63
105,question_105,278
106,question_106,95
107,question_107,26
108,question_108,26
109,question_109,44
110,question_110,36
111,question_111,57
112,question_112,55
113,question_113,244
114,question_114,152
115,question_115,17
116,question_116,53
117,question_117,23
118,question_118,19
119,question_119,150
120,question_120,43
121,question_121,275
122,question_122,61
123,question_123,49
124,question_124,38
125,question_125,111
126,question_126,28
127,question_127,51
128,question_128,77
129,question_129,32
130,question_130,53
131,question_131,29
132,question_132,105
133,question_133,62
134,question_134,61
135,question_135,22
136,question_136,23
137,question_137,30
138,question_138,21
139,question_139,41
140,question_140,9
141,question_141,6
142,question_142,9
143,question_143,48
144,question_144,48
145,question_145,198
146,question_146,61
147,question_147,23
148,question_148,46
149,question_149,135
150,question_150,3.0
151,question_151,26
152,question_152,10.0
153,question_153,13
154,question_154,4
155,question_155,18
156,question_156,80
157,question_157,3.0
158,question_158,24
159,question_159,68
160,question_160,21
161,question_162,21
162,question_163,1.0
163,question_164,383
164,question_165,3.5
165,question_167,9.0
166,question_168,165
167,question_169,10
168,question_170,"No, two dimes does not equal three pennies."
169,question_171,24
170,question_172,"Yes, she has enough money."
171,question_173,24
172,question_175,46
173,question_176,25
174,question_177,48
175,question_178,20
176,question_179,2
177,question_180,15
178,question_181,149
179,question_183,"No, he does not have enough to buy the book."
180,question_184,50
181,question_185,155
182,question_186,59
183,question_187,59
184,question_188,6
185,question_189,No
186,question_190,66
187,question_191,2.42
188,question_192,168
189,question_193,65
190,question_194,1
191,question_195,Bryan
192,question_196,-30
193,question_197,-13.5
194,question_198,-6.699999999999999
195,question_199,0.55
196,question_200,35
197,question_201,95
198,question_202,70
199,question_203,69
200,question_204,30
201,question_205,55
202,question_206,90
203,question_207,45
204,question_208,70
205,question_209,38
206,question_210,50
207,question_211,30
208,question_212,45
209,question_213,15
210,question_214,155
211,question_215,110
212,question_216,20
213,question_217,20
214,question_218,30
215,question_219,80
216,question_220,65
217,question_221,78
218,question_222,50
219,question_223,95
220,question_224,55
221,question_225,45
222,question_226,65
223,question_227,49
224,question_228,63
225,question_229,93
226,question_230,76
227,question_231,61
228,question_232,98
229,question_233,51
230,question_234,35
231,question_235,43
232,question_236,52
233,question_237,74
234,question_238,100
235,question_239,45
236,question_240,51
237,question_241,94
238,question_242,145
239,question_243,70
240,question_244,97
241,question_245,68
242,question_246,123
243,question_247,40
244,question_248,71
245,question_249,63
246,question_250,574
247,question_251,109
248,question_252,667
249,question_253,480
250,question_254,203
251,question_255,892
252,question_256,601
253,question_257,423
254,question_258,829
255,question_259,952
256,question_260,403
257,question_261,760
258,question_262,934
259,question_263,547
260,question_264,1212
261,question_265,862
262,question_266,900
263,question_267,861
264,question_268,729
265,question_269,400
266,question_270,612
267,question_271,1454
268,question_272,991
269,question_273,992
270,question_274,582
271,question_275,814
272,question_276,672
273,question_277,391
274,question_278,513
275,question_279,400
276,question_280,35
277,question_281,30
278,question_282,12
279,question_283,34
280,question_284,65
281,question_285,19
282,question_286,34
283,question_287,20
284,question_288,18
285,question_289,11
286,question_290,24
287,question_291,39
288,question_292,14
289,question_293,59
290,question_294,63
291,question_295,85.0
292,question_296,69
293,question_297,19
294,question_298,18.0
295,question_299,73
296,question_300,48
297,question_301,17
298,question_302,39
299,question_303,65
300,question_304,19
301,question_305,18
302,question_306,38
303,question_307,32
304,question_308,48
305,question_309,27
306,question_310,303
307,question_311,9
308,question_312,506
309,question_313,107
310,question_314,184
311,question_315,346
312,question_316,168
313,question_317,478
314,question_318,386
315,question_319,44
316,question_320,66
317,question_321,208
318,question_322,192
319,question_323,147
320,question_324,149
321,question_325,513
322,question_326,212
323,question_327,396
