,question,solution,answer,topic
0,"LeBron James is 6'9"" tall. 1 inch is 2.54 cm. How tall is he in centimeters?","def solution():
    #LeBron James is 6'9"" tall
    height_in_inches = 6 * 12 + 9
    #1 inch is 2.54 cm
    height_in_cm = height_in_inches * 2.54
    #The answer is
    result = height_in_cm
    return result",205.74,basketball
1,"Captain America has 1200 ryo. He spends 400 ryo on noodles, 200 ryo on a new outfit, and 300 ryo on a new headband. How many ryo does he have left?","def solution():
    #Captain America started with 1200 ryo
    ryo_initial = 1200
    #He spent 400 ryo on noodles
    ryo_spent_noodles = 400
    #He spent 200 ryo on a new outfit
    ryo_spent_outfit = 200
    #He spent 300 ryo on a new headband
    ryo_spent_headband = 300
    #The answer is
    result = ryo_initial - ryo_spent_noodles - ryo_spent_outfit - ryo_spent_headband
    return result",300.0,Captain America
3,"3 scoops of ice cream cost $4. 
How much does 10 scoops of ice cream cost?","def solution():
    #3 scoops of ice cream cost $4
    scoops_3 = 4
    #10 scoops of ice cream cost
    scoops_10 = (scoops_3 / 3) * 10
    return scoops_10",13.333333333333332,ice cream
5,"A volleyball team is 6 players. 
3 of the players are 16 years old. 
2 of the players are 17 years old. 
1 of the players is 18 years old. 
What is the average age of the team?","def solution():
    #3 of the players are 16 years old
    players_16 = 3
    #2 of the players are 17 years old
    players_17 = 2
    #1 of the players is 18 years old
    players_18 = 1
    #The average age is
    average_age = (players_16 * 16 + players_17 * 17 + players_18 * 18) / 6
    return average_age",16.666666666666668,volleyball
6,"Superman can fly at a speed of 1,000 miles per hour. He flies from Metropolis to Gotham City, which is 200 miles away. How long does it take him to get there?","def solution():
    #Superman can fly at a speed of 1,000 miles per hour
    superman_speed = 1000
    #He flies from Metropolis to Gotham City, which is 200 miles away
    distance = 200
    #The answer is
    result = distance / superman_speed
    return result",0.2,Superman
7,3 scoops of ice cream cost $4.  How much does 100 scoops of ice cream cost?,"def solution():
    #3 scoops of ice cream cost $4
    scoops_3_dollars = 3
    #100 scoops of ice cream is
    scoops_100 = 100
    #The answer is
    result = (scoops_100 / scoops_3_dollars) * 4
    return result",133.33333333333334,ice cream
8,"Superman can fly 1000 miles per hour. He flies from Metropolis to Gotham City, which is 1500 miles away. How many hours does it take him to get there?","def solution():
    #Superman can fly 1000 miles per hour
    superman_speed = 1000
    #He flies from Metropolis to Gotham City, which is 1500 miles away
    gotham_distance = 1500
    #The answer is
    result = gotham_distance / superman_speed
    return result",1.5,Superman
10,Wonder Woman has 2000 lassos. 70% of them are golden. 20% of the golden lassos are 100 feet long. How many 100-foot-long golden lassos does Wonder Woman have?,"def solution():
    #Wonder Woman has 2000 lassos
    lassos = 2000
    #70% of them are golden
    golden_lassos = 0.7 * lassos
    #20% of the golden lassos are 100 feet long
    long_golden_lassos = 0.2 * golden_lassos
    #The answer is
    result = int(long_golden_lassos)
    return result",280.0,Wonder Woman
11,Barbie has 100 pink outfits. She has 20 more blue outfits than pink outfits. She has 50% more green outfits than blue outfits. How many outfits does Barbie have in total?,"def solution():
    #Barbie has 100 pink outfits
    pink_outfits = 100
    #She has 20 more blue outfits than pink outfits
    blue_outfits = pink_outfits + 20
    #She has 50% more green outfits than blue outfits
    green_outfits = blue_outfits + blue_outfits * 0.5
    #The answer is
    result = pink_outfits + blue_outfits + green_outfits
    return result",400.0,Barbie
12,"Steve, the main character in Minecraft, is in the Nether. He has 100 health points. 20% of his health points are lost in the first 5 minutes. 30% of his health points are lost in the second 5 minutes. How many health points does he have left?","def solution():
    #Steve has 100 health points
    health_points = 100
    #20% of his health points are lost in the first 5 minutes
    health_points_lost_first_5_minutes = health_points * 0.20
    #30% of his health points are lost in the second 5 minutes
    health_points_lost_second_5_minutes = health_points * 0.30
    #The answer is
    result = health_points - health_points_lost_first_5_minutes - health_points_lost_second_5_minutes
    return result",50.0,Minecraft
