,question,solvability,explanation
0,"Steph Curry has 3000 points. 1000 of them are from 2-point shots, 2000 of them are from 3-point shots, and the rest are from free throws. How many points did he score from free throws?",,
1,The soccer team has 15 players. Each player has 2 feet. How many total feet does the team have?,1.0,"This question arrives at one correct answer and contains all the information needed to solve it. By multiplying the number of players (15) by the number of feet each player has (2), we can find the total number of feet (30)."
2,"In the original comic book series, the four Turtles are of the same size. The red ninja turtle, Raphael, is 6 inches tall.  The blue ninja turtle, Leonardo, is 12 inches taller than the red ninja turtle.  What is the blue ninja turtle’s height?",1.0,This question arrives at one correct answer and contains all the information needed to solve it. Simply add 12 inches to Raphael's 6 inches to find Leonardo's height.
3,Iron Man has 100 arc reactors. He deploys 20 arc reactors to each of the 5 cities. How many arc reactors does he have left?,1.0,"This question is solvable. It includes all necessary information and will result in one correct answer. You can multiply 20 arc reactors by 5 cities to find out how many are deployed, then subtract that number from the initial 100 arc reactors to find out how many are left."
4,"Iron Man has 5000 dollars. He spends 1000 dollars on a new outfit, 2000 dollars on a new apartment, and 3000 dollars on a new set of swords. How many dollars does he have left?",0.0,"The question results in a negative balance which is not possible for this scenario. Iron Man cannot spend more money than he has, so this question cannot be solved accurately without arriving at an unsolvable condition (having a negative amount of dollars)."
5,Naruto has 3000 calories of ramen. He uses 2000 calories of ramen to fight Sasuke on Tuesday.,0.0,"The question is incomplete. It does not ask for any specific information to be calculated (such as remaining calories), and therefore, there is no problem for the student to solve."
6,"Wonder Woman has 5 cats. She also has a dog. Her dog eats 200 grams of food in a day. If her cats eat 600 grams of food each in a day, how much food does Wonder Woman need to feed her pets?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. The total amount of food for the cats can be calculated by multiplying the amount of food one cat eats by the number of cats. Then, adding the amount of food the dog eats gives the total required food."
7,"Fortnite is a battle royale game. 100 players drop from the battle bus. 50 of them are from the USA, 20 of them are from the UK, 15 of them are from Germany, and the rest are from Canada. How many players are from Canada?",1.0,"This question arrives at one correct answer and contains all the information needed to solve it. You subtract the sum of the players from the USA, UK, and Germany from the total number of players to find the number from Canada."
8,How many cobblestones are there now?,0.0,"This question does not provide any context or information necessary to determine the number of cobblestones. Without additional details or numerical data, it's impossible to arrive at a correct answer."
9,A trainer has 600 Pokémon. He releases 120 of them and then 30% of the remaining Pokémon. How many Pokémon are left?,1.0,"This question has a clear step-by-step process that can be followed to reach one correct answer. First, subtract the number of Pokémon released from the initial amount, and then calculate 30% of the remaining amount to find out how many were released in the second step. The remaining number of Pokémon after both releases can then be found."
