,question,solution,answer,topic,question_number
630,Five Red Riding Hood field hockey players run 15 miles in practice. How many miles did each player run?,"def solution():
    #The total miles ran by the team
    miles_total = 15
    #The number of players doing field hockey
    players_total = 5
    #The answer is
    miles_each = miles_total / players_total
    return miles_each",3.0,field hockey,llema_q628
260,There are 360 million players of Fortnite. 50 million of the players don’t want to upgrade their stats. 100 million of the players want to upgrade their stats. How many players of Fortnite want to upgrade their stats and how many players don’t want to upgrade their stats?,"def solution():
    #Total players of Fortnite
    total_players = 360000000
    #Players that don't want to upgrade their stats
    dont_upgrade_stats = 50000000
    #Players that want to upgrade their stats
    upgrade_stats = total_players - dont_upgrade_stats
    #Players that don't want to upgrade their stats are
    result_not_upgrade = dont_upgrade_stats
    #Players that want to upgrade their stats are
    result_upgrade = upgrade_stats
    return result_upgrade, result_not_upgrade","(310000000, 50000000)",Fortnite,llema_q260
327,"Thor the God of Thunder has 3 magic hammer Uru. Thor has lost his favorite hammer, Mjolnir. Odinson the God of Lies, claims that one of the other hammer belongs to him. How many remaining Uru belong to Thor?","def solution():
    #Thor has 3 magic hammers Uru
    magic_hammers_initial = 3
    #Hammer Mjolnir was lost
    magic_hammers_mjolnir = 1
    #Odin the God of Lies claims 1
    magic_hammers_odin = 1
    #The answer is
    result = magic_hammers_initial - magic_hammers_mjolnir - magic_hammers_odin
    return result",1,"Thor, the God of Thunder",llema_q327
77,"A high school girl lacrosse team won 8 out of every 20 games. If the high school girl lacrosse team played 3 games, how many times were they expected to win?","def solution():
    #A high school girl lacrosse team wins 8 out of every 20 games
    out_of = 20
    won = 8
    #If the high school girl lacrosse team plays 3 games
    games = 3
    #The answer is how many times the team is expected to win
    result = won * games / out_of
    return result",1.2,lacrosse,llema_q77
684,"There are 200 unicorns in a forest. 100 of the unicorns are pink, 50 are blue, and the rest are purple. How many unicorns are purple?","def solution():
    #Total unicorns
    total_unicorns = 200
    #Pink unicorns
    pink_unicorns = 100
    #Blue unicorns
    blue_unicorns = 50
    #Purple unicorns are the rest
    purple_unicorns = total_unicorns - pink_unicorns - blue_unicorns
    return purple_unicorns",50,unicorns,mathwell_q661
344,"Batman caught a baddie with his trademark punch. Each punch knocks out 7 baddies. If Batman has thrown 60 punches, how many baddies has he knocked out?","def solution():
    #Each punch knocks out 7 baddies
    punch_baddies = 7
    #Batman has thrown 60 punches
    punches = 60
    #The answer is
    result = punch_baddies * punches
    return result",420,Batman,llema_q344
598,"LeBron James is going to make shots and layups. He hits all 7 of his shots and makes all 10 of his layups in a game. If a made shot is worth 2 points and a made layup is worth 4 points, how many points does LeBron score in the game?","def solution():
    #The number of shots he hits
    shots = 7
    #The number of layups he makes
    layups = 10
    #The number of points he scores on a made shot
    points_per_shot = 2
    #The number of points he scores on a made layup
    points_per_layup = 4
    #The total number of points he scores
    result = shots * points_per_shot + layups * points_per_layup
    return result",54,LeBron James,llema_q597
63,"Mario has two boxes of coins. One box is 4 feet tall, and the other is 2 feet tall. How tall are the coins together if each stack of coins is 3 inches tall?","def solution():
    #Mario has 2 boxes of coins
    boxes_of_coins = 2
    #One box is 4 feet tall
    tall_box_feet = 4
    #The other is 2 feet tall
    short_box_feet = 2
    #1 feet is 12 inches
    feet_to_inches = 12
    #1 inch is 0.083333333 feet
    inches_to_feet = 0.083333333
    #If each stack of coins is 3 inches, then Mario has
    result = (tall_box_feet + short_box_feet) * inches_to_feet + (boxes_of_coins * 3)
    return result",6.499999998,Super Mario,llema_q63
274,"The Teenage Mutant Ninja Turtles are having a pizza party. They have 125 slices of pizza. 45 of them are cheese, 30 of them are pepperoni, and the rest are supreme. How many supreme pizza slices are there?","def solution():
    #Total number of pizza slices
    total_slices = 125
    #Number of cheese pizza slices
    cheese = 45
    #Number of pepperoni pizza slices
    pepperoni = 30
    #Number of supreme pizza slices
    supreme = total_slices - cheese - pepperoni
    return supreme",50,Ninja Turtles,mammoth_q274
713,Thor can throw 15 lightning bolts per second. How many lightning bolts can he throw in 10 minutes?,"def solution():
    #Thor can throw 15 lightning bolts per second
    lightning_bolts_per_second = 15
    #10 minutes is 600 seconds
    seconds_10_minutes = 600
    #The answer is
    result = lightning_bolts_per_second * seconds_10_minutes
    return result",9000,"Thor, the God of Thunder",llama_q710
