,question_number,question,grade,answer,math_topic
0,question_0,Seven red apples and two green apples are in the basket. How many apples are in the basket?,1,9 (apples),Addition
1,question_1,Ellen has six more balls than Marin. Marin has nine balls. How many balls does Ellen have?,1,15 (balls),Addition
2,question_2,Janet has nine oranges and Sharon has seven oranges. How many oranges do Janet and Sharon have together?,1,16 (oranges),Addition
3,question_3,Allan brought two balloons and Jake brought four balloons to the park. How many balloons did Allan and Jake have in the park?,1,6 (balloons),Addition
4,question_4,Adam has five more apples than Jackie. Jackie has nine apples. How many apples does Adam have?,1,14 (apples),Addition
5,question_5,Brian has four more plums than Paul. Paul has seven plums. How many plums does Brian have?,1,11 (plums),Addition
6,question_6,Sandra took six cups of coffee and Marcie took two cups of coffee. How many cups of coffee did Sandra and Marcie take in total?,1,8 (cups),Addition
7,question_7,17 plums were in the basket. More plums were added to the basket. Now there are 21 plums. How many plums were added to the basket?,1,4 (plums),Subtraction
8,question_8,14 red plums and four green plums are in the basket. How many plums are in the basket?,1,18 (plums),Addition
9,question_9,Marin has nine apples and Donald has two apples. How many apples do Marin and Donald have together?,1,11 (apples),Addition
10,question_10,46 apples were in the basket. 22 are red and the rest are green. How many apples are green?,1,24 (apples),Subtraction
11,question_11,Five red peaches and 14 green peaches are in the basket. How many peaches are in the basket?,1,19 (peaches),Addition
12,question_12,20 peaches are in the basket. 25 more peaches are put in the basket. How many peaches are in the basket now?,1,45 (peaches),Addition
13,question_13,Two marbles are in the basket. Two marbles are taken out of the basket. How many marbles are in the basket now?,1,0 (marbles),Subtraction
14,question_14,Eight balls were in the basket. Some of the balls were removed from the basket. Now there are six balls. How many balls were removed from the basket?,1,2 (balls),Subtraction
15,question_15,Some oranges were in the basket. Five oranges were taken from the basket. Now there are three oranges. How many oranges were in the basket before some of the oranges were taken?,1,8 (oranges),Addition
16,question_16,Jake has six fewer peaches than Steven. Steven has 13 peaches. How many peaches does Jake have?,1,7 (peaches),Subtraction
17,question_17,David has zero fewer apples than Marin. Marin has three apples. How many apples does David have?,1,3 (apples),Subtraction
18,question_18,Jake has 34 fewer balls than Audrey. Audrey has 41 balls. How many balls does Jake have?,1,7 (balls),Subtraction
19,question_19,Brian has zero fewer oranges than Marcie. Marcie has 12 oranges. How many oranges does Brian have?,1,12 (oranges),Subtraction
20,question_20,2 birds were sitting on the fence. 4 more birds came to join them. How many birds are sitting on the fence?,1,6 (birds),Addition
21,question_21,You have 7 cookies and you ate 2 of them. How many cookies do you have left?,1,5 (cookies),Subtraction
22,question_22,You have collected 7 crickets. How many more crickets do you need to collect to have 11 crickets?,1,4 (crickets),Subtraction
23,question_23,4 birds are sitting on a branch. 1 flies away. How many birds are left on the branch?,1,3 (birds),Subtraction
24,question_24,3 raccoons are playing in the woods. 2 go home to eat dinner. How many raccoons are left in the woods?,1,1 (raccoons),Subtraction
25,question_25,"1 lonely pigeons was eating breadcrumbs. Another pigeon came to eat breadcrumbs, too. How many pigeons are eating breadcrumbs now?",1,2 (pigeons),Addition
26,question_26,3 owls were sitting on the fence. 2 more owls joined them. How many owls are on the fence now?,1,5 (owls),Addition
27,question_27,2 beavers were working on their home. 1 went for a swim. How many beavers are still working on their home?,1,1 (beavers),Subtraction
28,question_28,2 toucans are sitting on a tree limb. 1 more toucan joins them. How many toucans in all?,1,3 (toucans),Addition
29,question_29,"Mrs. Hilt has two pennies, two dimes, and two nickels. Jacob has four pennies, one nickel, and one dime. Who has more money?",1,Mrs. Hilt,Comparison
30,question_30,"Mrs. Hilt has two pennies, two dimes, and two nickels. Jacob has four pennies, one nickel, and one dime. How much more?",1,13 (pennies),Subtraction
31,question_31,"Mrs. Hilt found a quarter, 1 dime, and 2 nickels. How much money did she find?",1,45 (cents),Sum
