,0
0,"
{
  ""question"": ""Steph Curry has 3000 points. 1000 of them are from 2-point shots, 2000 of them are from 3-point shots, and the rest are from free throws. How many points did he score from free throws?"",
  ""solution"": ""def solution():\n    #Steph Curry has 3000 points\n    total_points = 3000\n    #1000 of them are from 2-point shots\n    two_point_shots = 1000\n    #2000 of them are from 3-point shots\n    three_point_shots = 2000\n    #The answer is\n    free_throw_points = total_points - two_point_shots - three_point_shots\n    return free_throw_points"",
  ""answer"": ""0""
}
"
1,"
{""question"": ""The soccer team has 15 players. Each player has 2 feet. How many total feet does the team have?"", ""solution"": ""def solution():\n    #Number of players\n    players = 15\n    #Each player has 2 feet\n    feet_per_player = 2\n    #The answer is\n    result = players * feet_per_player\n    return result"", ""answer"": ""30"", ""accuracy"": 1.0, ""explanation"": ""The solution multiplies the number of players by the number of feet per player, which is the correct method to find the total number of feet the team has.""}
"
2,"{'question': 'A commercial airplane takes 12 hours to fly from New York to Beijing. A fighter jet takes 20 hours to fly from New York to Beijing. How many times faster is the commercial airplane than the fighter jet?', 'solution': 'def solution():\n    #A commercial airplane takes 12 hours to fly from New York to Beijing\n    commercial_plane_time = 12\n    #A fighter jet takes 20 hours to fly from New York to Beijing\n    fighter_jet_time = 20\n    #The answer is\n    result = commercial_plane_time / fighter_jet_time\n    return result', 'answer': '0.6', 'accuracy': 0.0, 'explanation': 'The solution should calculate how many times faster the commercial airplane is by dividing the time taken by the fighter jet by the time taken by the commercial airplane (fighter_jet_time / commercial_plane_time), not the other way around. The faster a vehicle travels, the lesser time taken to cover the same distance, so to find out how many times faster, you divide the slower time by the faster time.'}"
3,"{
    'question': 'Spiderman has a web-shooter that shoots spiderweb-like strands. He needs to load 200 pounds of webbing into the webshooter to get to his next adventure. He already has 20 pounds of webbing loaded. How many more pounds does he need to load?',
    'solution': 'def solution():\n    #Spiderman needs to load 200 pounds of webbing into the webshooter\n    spideyman_webbing_goal = 200\n    #He already has 20 pounds of webbing loaded\n    spideyman_webbing_now = 20\n    #The answer is\n    result = spideyman_webbing_goal - spideyman_webbing_now\n    return result',
    'answer': '180',
    'accuracy': 1.0,
    'explanation': 'The solution calculates the remaining amount of webbing needed by subtracting the already loaded webbing from the total webbing goal, which correctly results in the quantity Spiderman needs to load.' 
}"
4,"{'question': 'Taylor Swift has 100 cats. She has 30 more cats than dogs. How many dogs does Taylor Swift have?', 'solution': 'def solution():\n    #Taylor Swift has 100 cats\n    cats = 100\n    #She has 30 more cats than dogs\n    dogs = cats - 30\n    #The answer is\n    result = dogs\n    return result', 'answer': '70', 'accuracy': 1.0, 'explanation': 'The solution correctly defines the number of cats and uses this information to calculate the number of dogs by subtracting 30, which is the difference noted in the problem.'}"
5,"
{
  ""question"": ""Iron Man has 100 arc reactors. He deploys 20 arc reactors to each of the 5 cities. How many arc reactors does he have left?"",
  ""solution"": ""def solution():\n    #Iron Man started with 100 arc reactors\n    arc_reactors_initial = 100\n    #He deploys 20 arc reactors to each of the 5 cities\n    arc_reactors_per_city = 20\n    #There are 5 cities\n    num_cities = 5\n    #He deployed\n    arc_reactors_deployed = arc_reactors_per_city * num_cities\n    #The answer is\n    result = arc_reactors_initial - arc_reactors_deployed\n    return result"",
  ""answer"": ""0"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly multiplies the number of arc reactors deployed per city by the number of cities to find the total number of arc reactors deployed. It then subtracts this number from the initial count of arc reactors to arrive at the accurate answer of how many arc reactors Iron Man has left.""
}
"
6,"
{
  ""question"": ""Naruto can run at a top speed of 1200 km/h. He is 1500 km away from the nearest Akatsuki member. How long will it take him to get to the Akatsuki member?"",
  ""solution"": ""def solution():\n    # Naruto's top speed is 1200 km/h\n    speed = 1200\n    # He is 1500 km away from the Akatsuki member\n    distance = 1500\n    # The answer is\n    result = distance / speed\n    return result\nprint(solution())"",
  ""answer"": ""1.25"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly calculates the time it would take for Naruto to reach the Akatsuki member by dividing the distance (1500 km) by his speed (1200 km/h), which gives the correct answer of 1.25 hours.""
}
"
7,"
{
  ""question"": ""Wonder Woman has 5 cats. She also has a dog.  Her dog eats 200 grams of food in a day.  If her cats eat 600 grams of food each in a day, how much food does Wonder Woman need to feed her pets?"",
  ""solution"": ""def solution():\n    #Wonder Woman has 5 cats\n    number_of_cats = 5\n    #She has a dog\n    has_dog = True\n    #Her dog eats 200 grams of food in a day\n    dog_food = 200\n    #Her cats eat 600 grams of food\n    cat_food = 600\n    #The total amount of food to feed her pets is\n    result = (number_of_cats * cat_food) + dog_food\n    return result"",
  ""answer"": ""3200"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly calculates the total food requirement for Wonder Woman's pets by multiplying the amount of food each cat eats by the number of cats and then adding the amount of food the dog eats.""
}
"
8,"
{
  ""question"": ""Fortnite is a battle royale game. 100 players drop from the battle bus. 50 of them are from the USA, 20 of them are from the UK, 15 of them are from Germany, and the rest are from Canada. How many players are from Canada?"",
  ""solution"": ""def solution():\n    #Total players\n    total_players = 100\n    #50 of them are from the USA\n    usa_players = 50\n    #20 of them are from the UK\n    uk_players = 20\n    #15 of them are from Germany\n    germany_players = 15\n    #The rest are from Canada\n    canada_players = total_players - usa_players - uk_players - germany_players\n    #The answer is\n    result = canada_players\n    return result"",
  ""answer"": ""15"",
  ""accuracy"": 1.0,
  ""explanation"": ""The solution correctly subtracts the sum of the number of players from the USA, UK, and Germany from the total number of players to arrive at the correct number of players from Canada.""
}
"
9,"{'question': 'Mentos sell for $3.25 per bag. How much do 4 bags of Mentos cost?', 'solution': 'def solution():\n    #Mentos sell for $3.25 per bag\n    candy_price_per_bag = 3.25\n    #The price of 4 bags is\n    return result', 'answer': '5', 'accuracy': 0.0, 'explanation': 'The solution is incomplete and does not calculate the price of 4 bags of Mentos. Additionally, the correct answer should be $3.25 multiplied by 4, which equals $13.00, not ""5"".'}"
