,question,solution,answer,topic,question_number
348,"A volleyball team has 12 players. 
4 of the players are 18 years old. 
3 of the players are 19 years old. 
2 of the players are 20 years old. 
1 of the players is 21 years old. 
2 of the players are 22 years old. 
How many of the players are not 18, 19, 20, or 21 years old?","def solution():
    #Total number of players
    total_players = 12
    #Number of players who are 18, 19, 20, and 21
    players_18 = 4
    players_19 = 3
    players_20 = 2
    players_21 = 1
    #The answer is
    result = total_players - players_18 - players_19 - players_20 - players_21
    return result",2,volleyball,mathwell_q343
669,"Superman can punch 1000 times in a minute. 
How many punches can he do in 5 minutes?","def solution():
    #Superman can punch 1000 times in a minute
    punches_per_minute = 1000
    #The answer is
    result = punches_per_minute * 5
    return result",5000,Superman,mathwell_q647
539,Super Mario has 30 coins. He picks up 5 coins in level 1-1. He picks up 8 coins in level 1-2. He picks up 7 coins in level 1-3. How many coins does he have?,"def solution():
    #Super Mario has 30 coins
    mario_coins_initial = 30
    #He picks up 5 coins in level 1-1
    mario_coins_1_1 = 5
    #He picks up 8 coins in level 1-2
    mario_coins_1_2 = 8
    #He picks up 7 coins in level 1-3
    mario_coins_1_3 = 7
    #The answer is
    result = mario_coins_initial + mario_coins_1_1 + mario_coins_1_2 + mario_coins_1_3
    return result",50,Super Mario,llama_q538
438,"Harry Potter has 2000 galleons. He has to pay 1000 galleons for a new broomstick, 500 galleons for a new owl, and 200 galleons for a new cauldron. How many galleons does he have left?","def solution():
    #Harry Potter started with 2000 galleons
    galleons_initial = 2000
    #He had to pay 1000 galleons for a new broomstick
    galleons_broomstick = 1000
    #500 galleons for a new owl
    galleons_owl = 500
    #200 galleons for a new cauldron
    galleons_cauldron = 200
    #The answer is
    result = galleons_initial - galleons_broomstick - galleons_owl - galleons_cauldron
    return result",300,Harry Potter,llama_q438
1333,"Mario has 100 coins. 
He spends 20 coins to buy a mushroom, 
10 coins to buy a flower, and 
20 coins to buy a star. 
How many coins does he have left?","def solution():
    #Mario has 100 coins
    coins_initial = 100
    #He spends 20 coins to buy a mushroom
    coins_spent_mushroom = 20
    #10 coins to buy a flower
    coins_spent_flower = 10
    #20 coins to buy a star
    coins_spent_star = 20
    #The answer is
    result = coins_initial - coins_spent_mushroom - coins_spent_flower - coins_spent_star
    return result",50,Super Mario,mathwell_q1279
402,A Fortnite player has 300 V-Bucks. They use 100 V-Bucks to buy a skin. They then use 150 V-Bucks to buy a glider. How many V-Bucks do they have left?,"def solution():
    #The player has 300 V-Bucks
    vbucks_initial = 300
    #They used 100 V-Bucks to buy a skin
    vbucks_used_skin = 100
    #They used 150 V-Bucks to buy a glider
    vbucks_used_glider = 150
    #The answer is
    result = vbucks_initial - vbucks_used_skin - vbucks_used_glider
    return result",50,Fortnite,llama_q402
1034,"A box of cookies has 12 cookies. 
I ate 5 of them. 
How many cookies do I have left?","def solution():
    #There are 12 cookies in the box
    cookies_in_box = 12
    #I ate 5 of them
    cookies_eaten = 5
    #The answer is
    result = cookies_in_box - cookies_eaten
    return result",7,cookies,llama_q1027
308,"Captain Marvel is on a mission to save the universe. She has 10000 light years to travel to the planet Zargon. 

She travels 100 light years in the first minute. 

How many minutes will it take her to reach the planet Zargon?","def solution():
    #Captain Marvel has 10000 light years to travel
    light_years = 10000
    #She travels 100 light years in the first minute
    light_years_minute = 100
    #The answer is
    result = light_years / light_years_minute
    return result",100.0,Captain Marvel,llama_q308
1071,Patrick Mahomes has 4000 passing yards. He has 2000 more passing yards than rushing yards. How many rushing yards does he have?,"def solution():
    #Patrick Mahomes has 4000 passing yards
    passing_yards = 4000
    #He has 2000 more passing yards than rushing yards
    rushing_yards = passing_yards - 2000
    #The answer is
    result = rushing_yards
    return result",2000,Patrick Mahomes,mathwell_q1033
149,Pokémon are categorized into types.  A Pokémon can have 1 or 2 types.  There are 18 types of Pokémon.  How many different combinations of types are there?,"def solution():
    # There are 18 types of Pokémon
    pokemon_types = 18
    # The answer is
    result = pokemon_types * (pokemon_types + 1) / 2
    return result",171.0,Pokémon,llama_q149
106,Captain Marvel is a superhero. She can punch 30 times per second. How many punches can she throw in 5 minutes?,"def solution():
    #Captain Marvel can punch 30 times per second
    punches_per_second = 30
    #There are 60 seconds in a minute
    seconds_per_minute = 60
    #5 minutes is 300 seconds
    minutes = 5
    seconds_in_5_minutes = minutes * seconds_per_minute
    #She can punch
    punches_in_5_minutes = punches_per_second * seconds_in_5_minutes
    #punches in 5 minutes. The answer is
    result = punches_in_5_minutes
    return result",9000,Captain Marvel,mathwell_q106
790,There are 151 Pokémon. 50 of them are Grass-type. 30 of them are Fire-type. 40 of them are Water-type. 20 of them are Electric-type. 11 of them are Psychic-type. How many Pokémon are not of these types?,"def solution():
    #Total number of Pokémon
    total_pokemon = 151
    #Grass-type
    grass_type = 50
    #Fire-type
    fire_type = 30
    #Water-type
    water_type = 40
    #Electric-type
    electric_type = 20
    #Psychic-type
    psychic_type = 11
    #The answer is
    result = total_pokemon - grass_type - fire_type - water_type - electric_type - psychic_type
    return result",0,Pokémon,mathwell_q765
33,There are 30 cookies on a plate. 10 of the cookies are chocolate chip. 5 of the cookies are oatmeal raisin. 10 of the cookies are peanut butter. 5 of the cookies are sugar cookies. How many cookies are not chocolate chip?,"def solution():
    #There are 30 cookies on a plate
    cookies_total = 30
    #10 of the cookies are chocolate chip
    cookies_chocolate_chip = 10
    #5 of the cookies are oatmeal raisin
    cookies_oatmeal_raisin = 5
    #10 of the cookies are peanut butter
    cookies_peanut_butter = 10
    #5 of the cookies are sugar cookies
    cookies_sugar = 5
    #The answer is
    result = cookies_total - cookies_chocolate_chip
    return result",20,cookies,llama_q33
1024,Wonder Woman has 100 lassos. She gives 10 lassos to Batman. How many lassos does she have left?,"def solution():
    #Wonder Woman has 100 lassos
    lassos_initial = 100
    #She gives 10 lassos to Batman
    lassos_given_to_batman = 10
    #The answer is
    result = lassos_initial - lassos_given_to_batman
    return result",90,Wonder Woman,llama_q1018
1114,Batman has 2000 grappling hooks. He uses 1000 of them in the first half of the year and 500 more in the second half of the year. How many grappling hooks does he have left?,"def solution():
    #Batman started with 2000 grappling hooks
    grappling_hooks_initial = 2000
    #He used 1000 in the first half of the year
    grappling_hooks_used_first_half = 1000
    #He used 500 more in the second half of the year
    grappling_hooks_used_second_half = 500
    #The answer is
    result = grappling_hooks_initial - grappling_hooks_used_first_half - grappling_hooks_used_second_half
    return result",500,cars,llama_q1104
1470,"A bakery bakes 1200 cookies per day. 300 of them are chocolate chip, 400 are oatmeal raisin, and 500 are peanut butter. How many of the cookies are not chocolate chip, oatmeal raisin, or peanut butter?","def solution():
    #The bakery bakes 1200 cookies per day
    cookies_baked_per_day = 1200
    #300 of them are chocolate chip
    chocolate_chip_cookies = 300
    #400 are oatmeal raisin
    oatmeal_raisin_cookies = 400
    #500 are peanut butter
    peanut_butter_cookies = 500
    #The answer is
    result = cookies_baked_per_day - chocolate_chip_cookies - oatmeal_raisin_cookies
    return result",500,cookies,mathwell_q1407
1064,Barbie has 100 dresses. She has 100 more dresses than shoes. How many shoes does she have?,"def solution():
    #Barbie has 100 dresses
    dresses = 100
    #She has 100 more dresses than shoes
    shoes = dresses - 100
    #The answer is
    result = shoes
    return result",0,Barbie,llama_q1055
