,question,solution,answer
0,A coder has 1000 followers on Twitter. He gains 100 followers every day. How many followers will he have in 5 days?,"def solution():
    #The coder has 1000 followers
    followers_initial = 1000
    #He gains 100 followers every day
    followers_gained_per_day = 100
    #The answer is
    result = followers_initial + (followers_gained_per_day * 5)
    return result",1500.0
1,A 20-year-old man is 66 inches tall.  His 10-year-old brother is 2/3 his height.  How tall is the 10-year-old in feet?,"def solution():
    #The 20-year-old is 66 inches
    twenty_year_old_height = 66
    #The 10-year-old is 2/3 the height of the 20-year-old
    ten_year_old_height = twenty_year_old_height * 2 / 3
    #The answer is
    result = ten_year_old_height
    return result",44.0
2,A bakery has 100 muffins.  The bakery sells 20 muffins in the morning and 30 muffins in the afternoon.  How many muffins are left?,"def solution():
    #The bakery has 100 muffins
    muffins_initial = 100
    #They sell 20 in the morning
    muffins_sold_morning = 20
    #They sell 30 in the afternoon
    muffins_sold_afternoon = 30
    #The answer is
    result = muffins_initial - muffins_sold_morning - muffins_sold_afternoon
    return result",50.0
3,A baker is making a 3-layer cake. The first layer is 10 inches in diameter. The second layer is 8 inches in diameter. The third layer is 6 inches in diameter. What is the volume of the cake?,"def solution():
    #The first layer is 10 inches in diameter
    layer_1_diameter = 10
    #The second layer is 8 inches in diameter
    layer_2_diameter = 8
    #The third layer is 6 inches in diameter
    layer_3_diameter = 6
    #The height of each layer is 4 inches
    layer_height = 4
    #The volume of a cylinder is pi * radius^2 * height
    #The radius of the first layer is 10/2 = <<10/2=5>>5 inches
    layer_1_radius = 5
    layer_1_volume = 3.14 * (layer_1_radius ** 2) * layer_height
    #The radius of the second layer is 8/2 = <<8/2=4>>4 inches
    layer_2_radius = 4
    layer_2_volume = 3.14 * (layer_2_radius ** 2) * layer_height
    #The radius of the third layer is 6/2 = <<6/2=3>>3 inches
    layer_3_radius = 3
    layer_3_volume = 3.14 * (layer_3_radius ** 2) * layer_height
    #The total volume is
    result = layer_1_volume + layer_2_volume + layer_3_volume
    return result",628.0
4,"A pizzeria is making pizzas for a party. 12 of the pizzas are pepperoni, and 8 of the pizzas are cheese. The rest of the pizzas are veggie. How many veggie pizzas are there?","def solution():
    #The pizzeria is making 24 pizzas
    pizzas_total = 24
    #12 are pepperoni
    pizzas_pepperoni = 12
    #8 are cheese
    pizzas_cheese = 8
    #The rest are veggie
    pizzas_veggie = pizzas_total - pizzas_pepperoni - pizzas_cheese
    return pizzas_veggie",4.0
5,A 10-pound sack of potatoes costs $5. A 5-pound sack of onions costs $2.50. How much will it cost to buy a 10-pound sack of potatoes and a 5-pound sack of onions?,"def solution():
    #A 10-pound sack of potatoes costs $5
    potatoes_cost = 5
    #A 5-pound sack of onions costs $2.50
    onions_cost = 2.5
    #The answer is
    result = potatoes_cost + onions_cost
    return result",7.5
6,The soccer team has 24 players. 12 of the players are forwards. 6 of the players are defenders. The rest of the players are goalies. How many goalies are there?,"def solution():
    #The team has 24 players
    players_total = 24
    #12 are forwards
    players_forwards = 12
    #6 are defenders
    players_defenders = 6
    #The rest are goalies
    players_goalies = players_total - players_forwards - players_defenders
    result = players_goalies
    return result",6.0
7,A 10-pound sack of apples costs $22. A 20-pound sack of apples costs $44. How much will 30 pounds of apples cost?,"def solution():
    #10 pounds of apples cost $22
    apples_10_pounds = 22
    #20 pounds of apples cost $44
    apples_20_pounds = 44
    #The answer is
    result = (apples_20_pounds - apples_10_pounds) / 10 + apples_10_pounds
    return result",24.2
8,A bakery sells 1200 cookies a day. They bake 1000 cookies in the morning and 1000 cookies in the afternoon. How many cookies do they have left at the end of the day?,"def solution():
    #The bakery sells 1200 cookies a day
    cookies_sold = 1200
    #They bake 1000 cookies in the morning and 1000 in the afternoon
    cookies_baked = 1000 * 2
    #The answer is
    result = cookies_baked - cookies_sold
    return result",800.0
9,A 10-pound bag of apples has 40 apples. How many 10-pound bags of apples does it take to have 120 apples?,"def solution():
    #10 pounds of apples has 40 apples
    apples_per_ten_pounds = 40
    #120 apples / 40 apples per 10 pounds = <<120/40=3>>3 10-pound bags of apples
    result = 120 / apples_per_ten_pounds
    return result",3.0
