,question,solution,answer,accuracy,explanation
0,"Steph Curry has 3000 points. 1000 of them are from 2-point shots, 2000 of them are from 3-point shots, and the rest are from free throws. How many points did he score from free throws?","def solution():
    #Steph Curry has 3000 points
    total_points = 3000
    #1000 of them are from 2-point shots
    two_point_shots = 1000
    #2000 of them are from 3-point shots
    three_point_shots = 2000
    #The answer is
    free_throw_points = total_points - two_point_shots - three_point_shots
    return free_throw_points",0,,
1,The soccer team has 15 players. Each player has 2 feet. How many total feet does the team have?,"def solution():
    #Number of players
    players = 15
    #Each player has 2 feet
    feet_per_player = 2
    #The answer is
    result = players * feet_per_player
    return result",30,1.0,"The solution multiplies the number of players by the number of feet per player, which is the correct method to find the total number of feet the team has."
2,Iron Man has 100 arc reactors. He deploys 20 arc reactors to each of the 5 cities. How many arc reactors does he have left?,"def solution():
    #Iron Man started with 100 arc reactors
    arc_reactors_initial = 100
    #He deploys 20 arc reactors to each of the 5 cities
    arc_reactors_per_city = 20
    #There are 5 cities
    num_cities = 5
    #He deployed
    arc_reactors_deployed = arc_reactors_per_city * num_cities
    #The answer is
    result = arc_reactors_initial - arc_reactors_deployed
    return result",0,1.0,The solution correctly multiplies the number of arc reactors deployed per city by the number of cities to find the total number of arc reactors deployed. It then subtracts this number from the initial count of arc reactors to arrive at the accurate answer of how many arc reactors Iron Man has left.
3,Naruto can run at a top speed of 1200 km/h. He is 1500 km away from the nearest Akatsuki member. How long will it take him to get to the Akatsuki member?,"def solution():
    # Naruto's top speed is 1200 km/h
    speed = 1200
    # He is 1500 km away from the Akatsuki member
    distance = 1500
    # The answer is
    result = distance / speed
    return result
print(solution())",1.25,1.0,"The solution correctly calculates the time it would take for Naruto to reach the Akatsuki member by dividing the distance (1500 km) by his speed (1200 km/h), which gives the correct answer of 1.25 hours."
4,"Wonder Woman has 5 cats. She also has a dog.  Her dog eats 200 grams of food in a day.  If her cats eat 600 grams of food each in a day, how much food does Wonder Woman need to feed her pets?","def solution():
    #Wonder Woman has 5 cats
    number_of_cats = 5
    #She has a dog
    has_dog = True
    #Her dog eats 200 grams of food in a day
    dog_food = 200
    #Her cats eat 600 grams of food
    cat_food = 600
    #The total amount of food to feed her pets is
    result = (number_of_cats * cat_food) + dog_food
    return result",3200,1.0,The solution correctly calculates the total food requirement for Wonder Woman's pets by multiplying the amount of food each cat eats by the number of cats and then adding the amount of food the dog eats.
5,"Fortnite is a battle royale game. 100 players drop from the battle bus. 50 of them are from the USA, 20 of them are from the UK, 15 of them are from Germany, and the rest are from Canada. How many players are from Canada?","def solution():
    #Total players
    total_players = 100
    #50 of them are from the USA
    usa_players = 50
    #20 of them are from the UK
    uk_players = 20
    #15 of them are from Germany
    germany_players = 15
    #The rest are from Canada
    canada_players = total_players - usa_players - uk_players - germany_players
    #The answer is
    result = canada_players
    return result",15,1.0,"The solution correctly subtracts the sum of the number of players from the USA, UK, and Germany from the total number of players to arrive at the correct number of players from Canada."
6,A trainer has 600 Pokémon. He releases 120 of them and then 30% of the remaining Pokémon. How many Pokémon are left?,"def solution():
    # The trainer started with 600 Pokémon
    pokemon_initial = 600
    # He released 120 Pokémon
    pokemon_released = 120
    # The remaining Pokémon after releasing 120
    pokemon_remaining_after_release = pokemon_initial - pokemon_released
    # 30% of the remaining Pokémon were released
    pokemon_released_after = pokemon_remaining_after_release * 0.3
    # The remaining Pokémon at the end
    pokemon_remaining = pokemon_remaining_after_release - pokemon_released_after
    # The answer is
    result = pokemon_remaining
    return result",336.0,1.0,"The solution correctly calculates the number of remaining Pokémon after the first release by subtracting 120 from the initial 600. It then correctly calculates 30% of the remaining 480 Pokémon and releases those. Finally, it subtracts the 30% released from the remaining Pokémon to arrive at the correct number of Pokémon left, which is 336."
7,"30 people are going to a pizza party. 20 of them are going to eat 3 slices of pizza, 5 of them are going to eat 5 slices of pizza, and the rest of them are going to eat 7 slices of pizza. How many slices of pizza are going to be eaten in total?","def solution():
    #Total people
    total_people = 30
    #20 of them are going to eat 3 slices of pizza
    three_slices_people = 20
    #5 of them are going to eat 5 slices of pizza
    five_slices_people = 5
    #The rest of them are going to eat 7 slices of pizza
    seven_slices_people = total_people - three_slices_people - five_slices_people
    #The total number of slices is
    result = three_slices_people * 3 + five_slices_people * 5 + seven_slices_people * 7
    return result",120,1.0,The solution correctly calculates the number of slices for each group of people and adds them up to get the total number of pizza slices consumed.
8,"Harry Potter is playing a game of Quidditch. In the game, there are 3 players on the field for each team. Each team has a Keeper, a Seeker, and a Chaser. 

The Keeper's job is to guard the team's goalposts. The Seeker's job is to catch the Golden Snitch, a small flying ball that can earn the team extra points. The Chaser's job is to throw the Quaffle, a larger ball, through the goalposts to score points.

There are 2 teams playing, so there are a total of 3 players per team * 2 teams = 6 players on the field.

How many players are playing the game of Quidditch?","def solution():

    # number of players per team

    players_per_team = 3

    # number of teams

    teams = 2

    # total players

    total_players = players_per_team * teams

    return total_players",6,0.0,"The solution incorrectly states that there are 3 players per team. In Quidditch, there are actually 7 players per team: 1 Keeper, 1 Seeker, 2 Beaters, and 3 Chasers. Therefore, with 2 teams, the total players should be 7 players per team * 2 teams = 14 players on the field."
9,"Harry Potter is a wizard. He has 500 spells. 200 of them are in his wand, 100 of them are in his book, and the rest are in his mind. How many spells are in his mind?","def solution():
    #Harry Potter has 500 spells
    spells = 500
    #200 of them are in his wand
    wand_spells = 200
    #100 of them are in his book
    book_spells = 100
    #The answer is
    result = spells - wand_spells - book_spells
    return result",200,1.0,"The solution for this question correctly subtracts the number of spells in Harry Potter's wand and in his book from the total number of spells he has, correctly determining the number of spells that are in his mind."
10,There are 1000 cars in a parking lot. 200 of them are SUVs. 400 of them are trucks. 100 of them are vans. The rest are sedans. How many sedans are there?,"def solution():
    total_cars = 1000
    suvs = 200
    trucks = 400
    vans = 100
    sedans = total_cars - suvs - trucks - vans
    return sedans",300,1.0,"The solution correctly subtracts the number of specific types of cars (SUVs, trucks, and vans) from the total number of cars to find the number of sedans."
11,Mario has 22 coins. He finds 30 more and then loses 12. How many coins does he have at the end?,"def solution():
    #Mario started with 22 coins
    coins_initial = 22
    #He finds 30 more
    coins_found = 30
    #He loses 12
    coins_lost = 12
    #The total coins he has is 
    result = coins_initial + coins_found - coins_lost
    return result",40,1.0,"The solution correctly performs the operations in the order stated in the question: starting with the initial coins, adding the coins found, and subtracting the coins lost, resulting in the correct final amount of coins."
12,Iron Man ate 100 burgers for lunch and 100 burgers for dinner. How many burgers did Iron Man eat in all?,"def solution():
    #Number burgers Iron Man ate for lunch
    lunch_burgers = 100
    #Number burgers Iron Man ate for dinner
    dinner_burgers = 100
    #Total burgers Iron Man ate
    burgers = lunch_burgers + dinner_burgers
    return burgers",200,1.0,The solution correctly adds the number of burgers Iron Man ate for lunch to the number of burgers he ate for dinner to arrive at the correct total.
