,question,solution,answer
0,Superman can fly at 250 miles per hour. He is 1500 miles away from his headquarters. How long will it take for him to fly to his headquarters?,"def solution():
    #Superman is 1500 miles away from his headquarters
    miles_away = 1500
    #He can fly at 250 miles per hour
    miles_per_hour = 250
    #The answer is
    result = miles_away / miles_per_hour
    return result",6.0
1,Superman can fly at a top speed of 250 miles per hour. He is 2000 miles from the Fortress of Solitude. How many hours will it take him to get there?,"def solution():
    #Superman's top speed is 250 miles per hour
    superman_speed = 250
    #The Fortress of Solitude is 2000 miles away
    fortress_distance = 2000
    #The answer is
    result = fortress_distance / superman_speed
    return result",8.0
2,"Superman can fly at a speed of 2500 miles per hour. He is on a mission to save the world and has to fly from New York to Los Angeles, which is 2450 miles away. How many minutes will it take for Superman to reach Los Angeles?","def solution():
    #Superman's speed is 2500 miles per hour
    superman_speed = 2500
    #The distance between New York and Los Angeles is 2450 miles
    new_york_la_distance = 2450
    #The answer is
    result = new_york_la_distance / superman_speed
    return result",0.98
3,"Superman can fly at 2500 miles per hour. He left Metropolis at 9:00 AM and headed to Gotham City, 2600 miles away. He then left Gotham City for Star City, 2800 miles away. He left Star City for Central City, 2400 miles away. How many hours did it take for Superman to travel from Metropolis to Central City?","def solution():
    #Superman left Metropolis at 9:00 AM
    met_departure = '9:00 AM'
    #He traveled to Gotham City, 2600 miles away
    gotham_distance = 2600
    #He traveled to Star City, 2800 miles away
    star_city_distance = 2800
    #He traveled to Central City, 2400 miles away
    central_city_distance = 2400
    #He flies at 2500 miles per hour
    superman_speed = 2500
    #It took him
    gotham_flight_time = gotham_distance / superman_speed
    star_city_flight_time = star_city_distance / superman_speed
    central_city_flight_time = central_city_distance / superman_speed
    #The total flight time is
    total_flight_time = gotham_flight_time + star_city_flight_time + central_city_flight_time
    #The answer is
    result = total_flight_time
    return result",3.12
4,Superman can run at 250 miles per hour. He' a heading to a location 2000 miles away. How long will it take him to get there?,"def solution():
    #Superman can run at 250 miles per hour
    speed = 250
    #The location is 2000 miles away
    distance = 2000
    #The answer is
    result = distance / speed
    return result",8.0
5,"Superman flies from the Earth to the Moon in 3 hours. He then flies from the Moon to Mars in 2 hours. The Moon is 240,000 miles from the Earth, and Mars is 140,000,000 miles from the Earth. How fast is Superman flying?","def solution():
    #Superman flies from the Earth to the Moon in 3 hours
    earth_moon_flight_time = 3
    #He then flies from the Moon to Mars in 2 hours
    moon_mars_flight_time = 2
    #The Moon is 240,000 miles from the Earth
    earth_moon_distance = 240000
    #Mars is 140,000,000 miles from the Earth
    earth_mars_distance = 140000000
    #The answer is
    result = (earth_moon_distance + earth_mars_distance) / (earth_moon_flight_time + moon_mars_flight_time)
    return result",28048000.0
6,Superman can fly at 250 miles per hour. He's 1200 miles away from Metropolis. How long will it take for him to get there?,"def solution():
    #Superman is 1200 miles away from Metropolis
    miles_away = 1200
    #He can fly at 250 miles per hour
    miles_per_hour = 250
    #The answer is
    result = miles_away / miles_per_hour
    return result",4.8
7,Superman can fly at the speed of light. He left Metropolis at 9 AM and flew to Gotham City. He left Gotham City at 11 AM and flew to Central City. How many hours did he spend in Gotham City?,"def solution():
    #Superman left Metropolis at 9 AM
    metropolis_departure = 9
    #He left Gotham City at 11 AM
    gotham_departure = 11
    #The answer is
    result = gotham_departure - metropolis_departure
    return result",2.0
8,"Superman can fly at 250 miles per hour. He's in New York and hears a cry for help from a damsel in distress in Metropolis, 1250 miles away. He flies there at top speed, rescues the damsel, and flies her to safety in Gotham City, 350 miles away. How long was he gone?","def solution():
    #Superman flies at 250 mph
    speed = 250
    #New York to Metropolis is 1250 miles
    distance_1 = 1250
    #Metropolis to Gotham is 350 miles
    distance_2 = 350
    #The total distance is
    distance_total = distance_1 + distance_2
    #The time to travel the distance is
    time = distance_total / speed
    return time",6.4
9,"Superman can fly at a speed of 500 miles per hour. He can also run at a speed of 200 miles per hour. He flies for 2 hours, then runs for 1 hour. How far has he traveled in total?","def solution():
    #Superman's flying speed is 500 miles per hour
    flying_speed = 500
    #He can run at 200 miles per hour
    running_speed = 200
    #He flew for 2 hours
    flying_time = 2
    #He ran for 1 hour
    running_time = 1
    #The distance he flew is
    flying_distance = flying_speed * flying_time
    #The distance he ran is
    running_distance = running_speed * running_time
    #The total distance is
    result = flying_distance + running_distance
    return result",1200.0
