,0,operation,success
0,"### Response: 
Question: Iron Man has 25 repulsor blasts, 10 unibeam blasts, and 15 missiles. How many weapons does he have in total?

Solution:
def solution():
    #Iron Man has 25 repulsor blasts
    repulsor_blasts = 25
    #10 unibeam blasts
    unibeam_blasts = 10
    #15 missiles
    missiles = 15
    #The answer is
    result = repulsor_blasts + unibeam_blasts + missiles
    return result",addition,1
1,"### Response: 

Question: The USA Field Hockey team has 12 players. 

The Canada Field Hockey team has 16 players. 

How many players are on the field at the same time?
Solution:
def solution():
    #The USA Field Hockey team has 12 players
    usa_players = 12
    #The Canada Field Hockey team has 16 players
    canada_players = 16
    #The answer is
    result = usa_players + canada_players
    return result",addition,1
2,"### Response: 
Question: Spiderman has 20 spider-senses. He has 5 spider-senses in each of his 4 hands. How many spider-senses does he have in total?
Solution:
def solution():
    #Spiderman has 20 spider-senses
    spider_senses = 20
    #He has 5 spider-senses in each of his 4 hands
    spider_senses_in_hands = 5 * 4
    #The answer is
    result = spider_senses + spider_senses_in_hands
    return result",addition,0
3,"### Response: 
Question: A field hockey team has 11 players on the field. The team has 12 more substitute players. How many players are there in total?
Solution:
def solution():
    #Number of players on the field
    players_on_field = 11
    #Number of substitute players
    substitute_players = 12
    #Total number of players
    total_players = players_on_field + substitute_players
    return total_players",addition,1
4,"### Response: 
Question: Barbie has 10000 dollars. She spends 2000 dollars on a car and 3000 dollars on a house. How much money does she have left?
Solution:
def solution():
    # Barbie has 10000 dollars
    barbie_money = 10000
    # She spends 2000 dollars on a car
    car_cost = 2000
    # She spends 3000 dollars on a house
    house_cost = 3000
    # The answer is
    result = barbie_money - car_cost - house_cost
    return result",addition,0
5,"### Response: 
Question:
Sarah baked 12 chocolate chip cookies, 16 oatmeal raisin cookies, and 20 sugar cookies. How many cookies did she bake in total?

Solution:
def solution():
    #Sarah baked 12 chocolate chip cookies
    chocolate_chip_cookies = 12
    #16 oatmeal raisin cookies
    oatmeal_raisin_cookies = 16
    #and 20 sugar cookies
    sugar_cookies = 20
    #The answer is
    result = chocolate_chip_cookies + oatmeal_raisin_cookies + sugar_cookies
    return result",addition,1
6,"### Response: 
Question: Superman has 10000 fans. 20000 more fans show up to a Superman event. How many fans does Superman have now?
Solution:
def solution():
    # Superman has 10000 fans
    fans_superman = 10000
    # 20000 more fans show up to a Superman event
    fans_event = 20000
    # The answer is
    result = fans_superman + fans_event
    return result

# Call the function and print the result
print(solution())",addition,1
7,"### Response: 
Question: 
There are 12 red cars in the parking lot. 
There are 15 blue cars in the parking lot. 
There are 18 green cars in the parking lot. 
How many cars are in the parking lot?

Solution:
def solution():
    #Number of red cars
    red_cars = 12
    #Number of blue cars
    blue_cars = 15
    #Number of green cars
    green_cars = 18
    #Total number of cars
    total_cars = red_cars + blue_cars + green_cars
    return total_cars
print(solution())",addition,1
8,"### Response: 
Question: Superman can fly 1000 miles per hour. He is flying from the East Coast to the West Coast, which is 2800 miles. How many hours does it take for him to get there?

Solution:
def solution():
    # Superman can fly 1000 miles per hour
    superman_speed = 1000
    # The distance between the East and West Coast is 2800 miles
    distance = 2800
    # The answer is
    result = distance / superman_speed
    return result",addition,0
9,"### Response: 
Question: A pizza has 8 slices. 2 of the slices have pepperoni, 3 of the slices have mushrooms, and 1 of the slices has both pepperoni and mushrooms. How many slices of pizza have toppings?
Solution:
def solution():
    #A pizza has 8 slices
    pizza_slices = 8
    #2 of the slices have pepperoni
    pepperoni_slices = 2
    #3 of the slices have mushrooms
    mushroom_slices = 3
    #1 of the slices has both pepperoni and mushrooms
    both_slices = 1
    #The answer is
    result = pepperoni_slices + mushroom_slices + both_slices
    return result",addition,1
10,"### Response: 

Question: Batman has 3 batarangs, 5 grappling hooks, and 4 smoke bombs. 

How many gadgets does he have in total?

Solution:

def solution():

    batarangs = 3

    grappling_hooks = 5

    smoke_bombs = 4

    total_gadgets = batarangs + grappling_hooks + smoke_bombs

    return total_gadgets",addition,1
