,question,answer,appropriateness,explanation,solution
0,"Steph Curry has 3000 points. 1000 of them are from 2-point shots, 2000 of them are from 3-point shots, and the rest are from free throws. How many points did he score from free throws?",0,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, includes context relevant to real-world situations (sports statistics), does not contain strange or unrealistic information, is free from grammar errors and typos, and requires simple subtraction to arrive at the final correct answer.",
1,The soccer team has 15 players. Each player has 2 feet. How many total feet does the team have?,30,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic as humans typically have 2 feet, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
2,Taylor Swift has 100 cats. She has 30 more cats than dogs. How many dogs does Taylor Swift have?,70,0.0,"This question is not based in reality, as it is highly unrealistic for an individual to legally own so many cats, which may confuse or mislead children.",
3,Naruto can run at a top speed of 1200 km/h. He is 1500 km away from the nearest Akatsuki member. How long will it take him to get to the Akatsuki member?,1.25,1.0,"This question involves a simple division problem, which is suitable for K-8 students. While the context is fictional and the speed is exaggerated, it is within the realm of acceptable exaggeration for a fictional setting. The question doesn’t contain any inappropriate content, grammatical errors, or typos, and requires mathematical operations to arrive at the final correct answer.",
4,Mentos sell for $3.25 per bag. How much do 4 bags of Mentos cost?,5,0.0,"This question is flagged as inappropriate because the provided answer, '5', is factually incorrect and does not match the correct calculation of the cost for 4 bags of Mentos. The correct answer should be $13.00, which is obtained by multiplying 4 bags by $3.25 per bag. This might cause confusion as it teaches incorrect mathematics. Additionally, an appropriate response in dollar amount should be given in a format representative of currency, which generally includes two decimal places to represent cents.",
5,A trainer has 600 Pokémon. He releases 120 of them and then 30% of the remaining Pokémon. How many Pokémon are left?,336.0,1.0,"This question is suitable for K-8 students. It involves both simple subtraction (600 - 120) and the calculation of a percentage (30%) of the remaining number. These are operations within the realm of what could be expected of K-8 students, and the question does not contain any strange or unrealistic elements, inappropriate content, or grammar issues.",
6,"Harry Potter is a wizard. He has 500 spells. 200 of them are in his wand, 100 of them are in his book, and the rest are in his mind. How many spells are in his mind?",200,1.0,"This question is appropriate for K-8 students. It is at an acceptable level of difficulty, uses subtraction as the mathematical operation, and is free of grammatical errors and inappropriate content. The fictional setting of Harry Potter with his spells is acceptable for the age group and does not present an unrealistic scenario, as it is clearly within a fantasy context.",
7,Mario has 22 coins. He finds 30 more and then loses 12. How many coins does he have at the end?,40,1.0,"This question is written at an appropriate mathematical difficulty for a K-8 student, contains appropriate language, is not strange or unrealistic, is free from grammar errors and typos, and requires mathematical operations (addition and subtraction) to arrive at the final correct answer.",
8,A fight broke out at the Daily Express. Captain Marvel gets outnumbered and 5 villains are fighting her. She kills 3 of them and puts the rest in jail. How many villains did she kill?,3,0.0,This question contains inappropriate content for a classroom setting as it describes a character killing others. Such content is not suitable for a K-8 educational environment.,
9,Steph Curry has 6000 points. He has 2000 more points than LeBron James. How many points does LeBron James have?,4000,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, involves subtraction which is within the mathematical operations covered in K-8, contains appropriate language, is not strange or unrealistic, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
10,"A bakery baked 100 cookies on Monday. On Tuesday, they baked 150 cookies. On Wednesday, they baked 200 cookies. On Thursday, they baked 100 cookies. How many cookies did they bake?",550,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, includes realistic and practical content, is free from grammar errors and typos, and requires mathematical operations (addition) to arrive at the final correct answer.",
11,Captain Marvel is at a movie premiere. 1000 people are in the front row. 2000 people are in the middle row. 3000 people are in the back row. How many people are at the premiere?,6000,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic given the context is a large movie premiere which could potentially have many people in attendance (even if the numbers are a bit exaggerated for effect), is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
12,"Patrick Mahomes has 24 touchdown passes. 12 of them are in the first half, 7 of them are in the second half, and the rest are in overtime. How many touchdown passes does Patrick Mahomes have in overtime?",5,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students. It involves basic subtraction to determine the number of touchdown passes in overtime. It contains appropriate language, is not strange or unrealistic within the context of sports, is free from grammar errors and typos, and requires a mathematical operation to arrive at the final correct answer.",
13,"Batman has 5000 Joker coins, 2000 Batman coins, and 7000 Poison Ivy coins. He wants to distribute them to three different Joker's henchmen. He gives 1/3 of his Joker coins, 2/5 of his Batman coins, and 2/3 of his Poison Ivy coins to each of the Joker's henchmen. How many Joker coins does each Joker's henchman get?",1666.6666666666667,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, involves operations with basic fractions which are within the K-8 curriculum, contains appropriate and engaging fictional language, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
14,"Barbie wants to buy 100 scoops of ice cream. She wants to buy 30 scoops of vanilla, 20 scoops of chocolate, and 15 scoops of strawberry. How many scoops of ice cream does she have left to buy?",35,1.0,"This question is suitable for a K-8 student as it uses basic subtraction to find the answer, does not contain any strange or unrealistic content (buying multiple scoops of different flavors is a plausible scenario), contains no inappropriate language, is free from grammatical errors or typos, and requires mathematical operations to arrive at the final correct answer.",
15,Steph Curry made 1000 3-pointers in 2019. He made 1100 3-pointers in 2020. How many 3-pointers did Steph Curry make in 2019 and 2020?,2100,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic given the fictional context, is free from grammar errors and typos, and requires mathematical operations (addition) to arrive at the final correct answer.",
16,Taylor Swift has 1000 followers on Twitter. She has 2000 followers on Instagram. She has 3000 followers on TikTok. How many followers does she have in total?,6000,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, relates to a relevant and real-life scenario, contains appropriate language, is not strange or unrealistic, is free from grammar errors and typos, and requires the mathematical operation of addition to arrive at the final correct answer.",
17,Serena Williams can run 1000 meters in 2 hours. How many meters can she run in 10 hours?,5000,1.0,"This question is at an appropriate mathematical difficulty for K-8 students. It involves basic multiplication and division concepts, contains appropriate language, is not strange or unrealistic, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.",
18,There were 10000 dogs in a town. 2000 of them left. 1000 more dogs came. 2000 of the dogs that left returned. How many dogs are there now?,11000,1.0,"This question is written at an appropriate mathematical difficulty for K-8 students, involves basic addition and subtraction operations, contains appropriate language, is not strange or unrealistic within the context of a fictional scenario, has no grammar errors or typos, and requires mathematical operations to arrive at the final correct answer.",
