,question_number,question,answer
0,question0,A coder has 1000 followers on Twitter. He gains 100 followers every day. How many followers will he have in 5 days?,1500
1,question1,A 20-year-old man is 66 inches tall.  His 10-year-old brother is 2/3 his height.  How tall is the 10-year-old in feet?,44.0
2,question2,A bakery has 100 muffins.  The bakery sells 20 muffins in the morning and 30 muffins in the afternoon.  How many muffins are left?,50
3,question3,A baker is making a 3-layer cake. The first layer is 10 inches in diameter. The second layer is 8 inches in diameter. The third layer is 6 inches in diameter. What is the volume of the cake?,628.0
4,question4,A 10-pound sack of potatoes costs $5. A 5-pound sack of onions costs $2.50. How much will it cost to buy a 10-pound sack of potatoes and a 5-pound sack of onions?,7.5
5,question5,The soccer team has 24 players. 12 of the players are forwards. 6 of the players are defenders. The rest of the players are goalies. How many goalies are there?,6
6,question6,A 10-pound sack of apples costs $22. A 20-pound sack of apples costs $44. How much will 30 pounds of apples cost?,24.2
7,question7,A bakery sells 1200 cookies a day. They bake 1000 cookies in the morning and 1000 cookies in the afternoon. How many cookies do they have left at the end of the day?,800
8,question8,A 10-pound bag of apples has 40 apples. How many 10-pound bags of apples does it take to have 120 apples?,3.0
9,question9,Olivia has $23. She bought five bagels for $3 each. How much money does she have left?,23
10,question10,The Beverly Hills Hotel has 240 rooms. 70% of the rooms are occupied. How many rooms are unoccupied?,72.00000000000001
11,question11,1/3 of the 36-member orchestra are string players. How many musicians are in the orchestra?,12.0
12,question12,A 20-pound box of oranges has 280 oranges. A 10-pound box of oranges has 140 oranges. How many oranges can you get for $10?,140.0
13,question13,A 12-pack of soda costs $18.00. A 12-pack of beer costs $24.00. How much more expensive is a 12-pack of beer than a 12-pack of soda?,6
14,question14,"The 1st, 2nd, and 3rd place winners of the spelling bee each get a trophy.  The 4th through 10th place winners each get a ribbon.  How many awards are given out in total?",10
15,question15,"A pizza has 12 slices. 3 of the slices have 2 pepperonis each, and 4 of the slices have 1 pepperoni each. How many pepperonis are on the pizza?",10
16,question16,A cake of soap weighs 4 ounces. 12 cakes of soap are boxed together. 48 boxes of soap are palletized together. How many ounces of soap are on a pallet?,2304
17,question17,A baker makes 100 baguettes.  He sells 93 baguettes.  A grocery store returns 6 baguettes.  How many baguettes does he have left?,13
18,question18,"A soccer team has 24 players. 12 of the players are from Spain. 6 of the players are from Germany. 2 of the players are from each of the following countries: Argentina, Brazil, and England. How many players are from Argentina, Brazil, and England?",6
