,question,solution,answer,topic,question_number
584,4 unicorns ate 24 apples. 3 of the unicorns ate 8 apples each. How many apples did the 4th unicorn eat?,"def solution():
    #4 unicorns ate 24 apples
    unicorns = 4
    apples = 24
    #3 unicorns ate 8 apples each
    unicorns_3 = 3
    apples_3 = 8
    #The answer is
    result = apples - (unicorns_3 * apples_3)
    return result",0,unicorns,question_0
562,240 scoops of ice cream were evenly divided into 30 cones. How many scoops of ice cream are in each cone?,"def solution():
    #Total scoops of ice cream
    total_scoops = 240
    #Number of cones
    cones = 30
    #Scoops of ice cream in each cone
    scoops_per_cone = total_scoops / cones
    return scoops_per_cone",8.0,ice cream,question_1
1107,"T'Challa is the king of Wakanda. He has 2000 warriors to protect the kingdom. 500 of them are Dora Milaje, and the rest are the Wakandan Army. How many warriors are in the Wakandan Army?","def solution():
    #T'Challa has 2000 warriors
    warriors_total = 2000
    #500 of them are Dora Milaje
    dora_milaje = 500
    #The rest are the Wakandan Army. The answer is
    wakandan_army = warriors_total - dora_milaje
    return wakandan_army",1500,Black Panther,question_2
199,24 cars were in a parking lot. 14 more cars came and parked in the parking lot. 7 of the cars in the parking lot left. How many cars are in the parking lot now?,"def solution():
    #There were 24 cars in the parking lot
    cars_initial = 24
    #14 more cars came and parked
    cars_came = 14
    #7 of the cars in the parking lot left
    cars_left = 7
    #The answer is
    result = cars_initial + cars_came - cars_left
    return result",31,cars,question_3
1080,"A lacrosse team has 24 players. 11 of the players are from the United States. 7 of the players are from Canada. 4 of the players are from Australia. 2 of the players are from the United Kingdom. How many players are not from the United States, Canada, Australia, or the United Kingdom?","def solution():
    #Total players
    total_players = 24
    #Players from the US, Canada, Australia, and the UK
    players_us = 11
    players_canada = 7
    players_australia = 4
    players_uk = 2
    #Players not from the US, Canada, Australia, or the UK
    players_not_us_canada_australia_uk = total_players - (players_us + players_canada + players_australia + players_uk)
    return players_not_us_canada_australia_uk",0,lacrosse,question_4
154,"Thor's Hammer, Mjolnir, is 1000 times as heavy as the Dwarven-made sword he carries. If the sword weighs 100 ounces, how much does Mjolnir weigh?","def solution():
    #The sword weighs 100 ounces
    sword_weight = 100
    #Mjolnir is 1000 times as heavy as the sword
    mjolnir_weight = 1000 * sword_weight
    #The answer is
    result = mjolnir_weight
    return result",100000,Thor,question_5
1386,"Captain Marvel's rocket can travel 10,0 000,000 light years in 1000 years. How many light years can it travel in 1,000,000 years?","def solution():
    #The rocket can travel 10,000,000 light years in 1000 years
    light_years_1000 = 10000000
    time_1000 = 1000
    #So in 1,000,000 years, it can travel
    light_years_1000000 = light_years_1000 / time_1000 * 1000000
    return light_years_1000000",10000000000.0,Captain Marvel,question_6
3,"T'Challa, the Black Panther, has 100 vibranium-infused nails. He uses 10 nails to board up a window. He then uses 15 nails to build a fence. He uses 20 nails to build a door. How many nails does he have left?","def solution():
    #T'Challa started with 100 nails
    nails_initial = 100
    #He used 10 nails to board up a window
    nails_used_window = 10
    #He used 15 nails to build a fence
    nails_used_fence = 15
    #He used 20 nails to build a door
    nails_used_door = 20
    #The answer is
    result = nails_initial - nails_used_window - nails_used_fence - nails_used_door
    return result",55,Black Panther,question_7
423,Captain Marvel has 12 Infinity Stones. She has to use 3 of them to open a portal. She then has to use 2 Infinity Stones for each of 5 planets she visits. How many Infinity Stones does she have left?,"def solution():
    #Captain Marvel started with 12 Infinity Stones
    infinity_stones_initial = 12
    #She used 3 to open a portal
    infinity_stones_used_portal = 3
    #She used 2 for each of 5 planets
    infinity_stones_used_planets = 2 * 5
    #The answer is
    result = infinity_stones_initial - infinity_stones_used_portal - infinity_stones_used_planets
    return result",-1,Captain Marvel,question_8
95,A soccer team has 11 players on the field at a time. They have 22 more players on the bench. How many players are on the team in total?,"def solution():
    #11 players are on the field
    players_on_field = 11
    #22 more players are on the bench
    players_on_bench = 22
    #The answer is
    result = players_on_field + players_on_bench
    return result",33,soccer,question_9
164,Serena Williams has 200 career titles. 100 of those titles are in singles. 50 of those titles are in women's doubles. 20 of those titles are in mixed doubles. How many of her titles are in other events?,"def solution():
    #Serena has 200 career titles
    titles_total = 200
    #100 of those titles are in singles
    titles_singles = 100
    #50 of those titles are in women's doubles
    titles_womens_doubles = 50
    #20 of those titles are in mixed doubles
    titles_mixed_doubles = 20
    #The answer is
    result = titles_total - titles_singles - titles_womens_doubles - titles_mixed_doubles
    return result",30,Serena Williams,question_10
936,Patrick Mahomes's 40-yard dash time is 4.8 seconds. 0.2 seconds is deducted for each of the 40-yard dashes he does. How many 40-yard dashes can he do in 60 seconds?,"def solution():
    #Patrick Mahomes's 40-yard dash time is 4.8 seconds
    time_per_dash = 4.8
    #0.2 seconds is deducted for each of the 40-yard dashes he does
    time_deduction = 0.2
    #60 seconds is the total time
    total_time = 60
    #The answer is
    result = total_time / (time_per_dash - time_deduction)
    return result",13.043478260869566,Patrick Mahomes,question_11
1313,Iron Man has 1500 gold coins. He is to pay 100 gold coins to the government and 200 gold coins to the orphanage. How many gold coins does he have left?,"def solution():
    #Iron Man started with 1500 gold coins
    gold_coins_initial = 1500
    #He is to pay 100 gold coins to the government
    gold_coins_government = 100
    #He is to pay 200 gold coins to the orphanage
    gold_coins_orphanage = 200
    #The answer is
    result = gold_coins_initial - gold_coins_government - gold_coins_orphanage
    return result",1200,Iron Man,question_12
980,"A paleontologist is excavating a dinosaur bone. He recovers 30 bones on the first day, 20 more on the second day, and 15 more on the third day. How many bones has he recovered in total?","def solution():
    #The paleontologist recovered 30 bones on the first day
    bones_first_day = 30
    #20 more on the second day
    bones_second_day = 20
    #and 15 more on the third day
    bones_third_day = 15
    #The answer is
    result = bones_first_day + bones_second_day + bones_third_day
    return result",65,dinosaurs,question_13
847,Thor is a 120-pound dog.  He eats 3/4 of a pound of kibble a day.  How much kibble does he eat in a week?,"def solution():
    #Thor weighs 120 pounds
    thor_weight = 120
    #He eats 3/4 of a pound of kibble a day
    kibble_per_day = 3/4
    #There are 7 days in a week
    days_in_a_week = 7
    #The answer is
    result = thor_weight * kibble_per_day * days_in_a_week
    return result",630.0,Thor,question_14
52,20 cats in the alley were 50% strays. 30 more strays wandered in. 20% of the strays in the alley were adopted. How many strays are left?,"def solution():
    #20 cats in the alley were 50% strays
    strays_initial = 20 * 0.50
    #30 more strays wandered in
    strays_wandered = 30
    #20% of the strays in the alley were adopted
    strays_adopted = (strays_initial + strays_wandered) * 0.20
    #The answer is
    result = (strays_initial + strays_wandered) - strays_adopted
    return result",32.0,cats,question_15
1365,3000 people are at the park. 300 of them are eating ice cream. 200 of the people eating ice cream have a second scoop. 50 of the people with a second scoop have a third scoop. How many people are eating triple scoop ice cream?,"def solution():
    #Total number of people in the park
    total_people = 3000
    #Number of people eating ice cream
    people_eating_ice_cream = 300
    #Number of people eating a second scoop
    people_second_scoop = 200
    #Number of people eating a third scoop
    people_third_scoop = 50
    #The answer is
    result = people_third_scoop
    return result",50,ice cream,question_16
1167,"Naruto has 252 Konoha shinobi. 130 of them are jonin, 56 of them are chunin, and the rest are genin. How many genin are there?","def solution():
    #Naruto has 252 shinobi
    shinobi = 252
    #130 of them are jonin
    jonin = 130
    #56 of them are chunin
    chunin = 56
    #The rest are genin. The answer is
    genin = shinobi - jonin - chunin
    return genin",66,Naruto,question_17
1060,"Thor is a 1,000 pound pig.  He ate 200 pounds of food in a week.  If he ate the same amount of food every week, how many weeks did it take for him to gain 1,20
00 pounds?","def solution():
    # Thor's initial weight
    initial_weight = 1000
    # Thor's weekly food intake
    weekly_food_intake = 200
    # Thor's final weight
    final_weight = 1200

    # Thor's weekly weight gain is his food intake
    weekly_weight_gain = weekly_food_intake

    # The number of weeks it took for Thor to gain 200 pounds is
    weeks = (final_weight - initial_weight) / weekly_weight_gain

    return weeks",1.0,Thor,question_18
1332,"The lacrosse team has 24 players. 12 of them are sophomores, 8 are juniors, and the rest are seniors. How many are seniors?","def solution():
    #The total number of players
    total_players = 24
    #The number of sophomores
    sophomores = 12
    #The number of juniors
    juniors = 8
    #The rest are seniors. The answer is
    seniors = total_players - sophomores - juniors
    return seniors",4,lacrosse,question_19
514,"There are 52 Ninja Turtles. 26 of them are in the sewer, 12 are in the lair, and the rest are out on the streets. How many Ninja Turtles are out on the streets?","def solution():
    #There are 52 Ninja Turtles
    turtles_total = 52
    #26 of them are in the sewer
    turtles_sewer = 26
    #12 are in the lair
    turtles_lair = 12
    #The rest are out on the streets. The answer is
    turtles_streets = turtles_total - turtles_sewer - turtles_lair
    return turtles_streets",14,Ninja Turtles,question_20
