,model,question,solution,answer,accuracy,solvability,appropriateness,mac
0,llama,"Steph Curry has 3000 points. 1000 of them are from 2-point shots, 2000 of them are from 3-point shots, and the rest are from free throws. How many points did he score from free throws?","def solution():
    #Steph Curry has 3000 points
    total_points = 3000
    #1000 of them are from 2-point shots
    two_point_shots = 1000
    #2000 of them are from 3-point shots
    three_point_shots = 2000
    #The answer is
    free_throw_points = total_points - two_point_shots - three_point_shots
    return free_throw_points",0,1.0,1,1.0,1
1,mammoth,The soccer team has 15 players. Each player has 2 feet. How many total feet does the team have?,"def solution():
    #Number of players
    players = 15
    #Each player has 2 feet
    feet_per_player = 2
    #The answer is
    result = players * feet_per_player
    return result",30,1.0,1,1.0,1
2,llama,A commercial airplane takes 12 hours to fly from New York to Beijing. A fighter jet takes 20 hours to fly from New York to Beijing. How many times faster is the commercial airplane than the fighter jet?,"def solution():
    #A commercial airplane takes 12 hours to fly from New York to Beijing
    commercial_plane_time = 12
    #A fighter jet takes 20 hours to fly from New York to Beijing
    fighter_jet_time = 20
    #The answer is
    result = commercial_plane_time / fighter_jet_time
    return result",0.6,0.0,1,1.0,0
3,llema,"In the original comic book series, the four Turtles are of the same size. The red ninja turtle, Raphael, is 6 inches tall.  The blue ninja turtle, Leonardo, is 12 inches taller than the red ninja turtle.  What is the blue ninja turtle’s height?","def solution():
    #Raphael is 6 inches tall
    turtle_raphael_height = 6
    #The red ninja turtle is 12 inches taller than Raphael
    turtle_red_height = turtle_raphael_height + 12
    #The blue ninja turtle is 12 inches taller than the red ninja turtle
    turtle_blue_height = turtle_red_height + 12
    #The answer is
    result = turtle_blue_height
    return result",30,,0,,0
5,llema,Spiderman has a web-shooter that shoots spiderweb-like strands. He needs to load 200 pounds of webbing into the webshooter to get to his next adventure. He already has 20 pounds of webbing loaded. How many more pounds does he need to load?,"def solution():
    #Spiderman needs to load 200 pounds of webbing into the webshooter
    spideyman_webbing_goal = 200
    #He already has 20 pounds of webbing loaded
    spideyman_webbing_now = 20
    #The answer is
    result = spideyman_webbing_goal - spideyman_webbing_now
    return result",180,1.0,1,1.0,1
6,llama,Taylor Swift has 100 cats. She has 30 more cats than dogs. How many dogs does Taylor Swift have?,"def solution():
    #Taylor Swift has 100 cats
    cats = 100
    #She has 30 more cats than dogs
    dogs = cats - 30
    #The answer is
    result = dogs
    return result",70,1.0,1,0.0,0
7,mammoth,Iron Man has 100 arc reactors. He deploys 20 arc reactors to each of the 5 cities. How many arc reactors does he have left?,"def solution():
    #Iron Man started with 100 arc reactors
    arc_reactors_initial = 100
    #He deploys 20 arc reactors to each of the 5 cities
    arc_reactors_per_city = 20
    #There are 5 cities
    num_cities = 5
    #He deployed
    arc_reactors_deployed = arc_reactors_per_city * num_cities
    #The answer is
    result = arc_reactors_initial - arc_reactors_deployed
    return result",0,1.0,1,1.0,1
8,mammoth,"Iron Man has 5000 dollars. He spends 1000 dollars on a new outfit, 2000 dollars on a new apartment, and 3000 dollars on a new set of swords. How many dollars does he have left?","def solution():
    #Iron Man started with 5000 dollars
    dollars_initial = 5000
    #He spent 1000 dollars on a new outfit
    dollars_spent_outfit = 1000
    #He spent 2000 dollars on a new apartment
    dollars_spent_apartment = 2000
    #He spent 3000 dollars on a new set of swords
    dollars_spent_swords = 3000
    #The answer is
    result = dollars_initial - dollars_spent_outfit - dollars_spent_apartment - dollars_spent_swords
    return result",-1000,,0,,0
9,llema,Naruto has 3000 calories of ramen.  He uses 2000 calories of ramen to fight Sasuke on Tuesday.,"def solution():
    #There were initially 3000 calories of ramen
    ramen_initial = 3000
    #He used 2000 calories of ramen to fight Sasuke on Tuesday
    ramen_used_tuesday = 2000
    #The answer is
    result = ramen_initial - ramen_used_tuesday
    return result",1000,,0,,0
10,mammoth,Naruto can run at a top speed of 1200 km/h. He is 1500 km away from the nearest Akatsuki member. How long will it take him to get to the Akatsuki member?,"def solution():
    # Naruto's top speed is 1200 km/h
    speed = 1200
    # He is 1500 km away from the Akatsuki member
    distance = 1500
    # The answer is
    result = distance / speed
    return result
print(solution())",1.25,1.0,1,0.0,0
