label,text
0,"Question: Brennan is in a 100-mile race. He has already run 30 miles. He can run 1 mile in 6 minutes. The record for this race is 4 hours 8 minutes.  How many minutes behind the record is Brennan? Solution: 
def solution():
    #Brennan has 30 of the 100 miles
    brennan_distance = 30
    #He can run 1 mile in 6 minutes
    mile_per_minute = 6
    #Race is 100 miles
    race_distance = 100
    #Brennan ran 30/60 = <<30/60=1/2>>1/2 of the race
    brennan_time_taken = brennan_distance / mile_per_minute / 2
    #The record is 4*60 + 8 = 248 minutes
    record_time = 248
    #Brennan is 248 - 1/2 of the race = 124 minutes behind
    brennan_time_behind = record_time - brennan_time_taken
    return brennan_time_behind
    return result"
1,"Question: Sharon and her friend ate at a restaurant. Sharon ate 1206719 Chinese dumplings and her friend ate 10. How many dumplings did they eat? Solution: 
def solution():
    #Sharon ate 30 dumplings
    sharon_dumplings = 1206719
    #Her friend ate 10
    friend_dumplings = 10
    #They ate 30 + 10 dumplings
    result = sharon_dumplings + friend_dumplings
    return result"
0,"Question: A toy car sells for $26. It is 30% off. Does the discounted price cause the toy car to be affordable for the little boy, whose only money is two $20 bills? Solution: 
def solution():
    # A toy car sells for $26
    car_price = 26
    # The car is 30% off
    car_discount = 0.3
    # The discounted price is
    car_price_discounted = car_price * (1 - car_discount)
    # The little boy has two $20 bills, so
    money_initial = 2 * 20
    # The affordability of the car is computed by
    result = money_initial / car_price_discounted
    return result"
1,"Question: Finding out that a new, nearby gym has an excellent yoga class, two-thirds of the 3520856 people who were working out at a nearby less-equipped gym move to the new gym.  If the new gym had 300 members before the migration, how many members does the new gym have now? Solution: 
def solution():
    #Former gym's members were 3520856
    members_formergym = 3520856
    #A new gym's members before the migration was 300
    members_newgym_premigration = 300
    #Two-thirds of the 3520856 members of the former gym gym relocated to the new gym.
    members_migration = members_formergym * 2 / 3
    #The total after the migration is members of the new gym before the migration plus members of the old gym who relocated to the new gym.
    members_newgym_postmigration = members_newgym_premigration + members_migration
    #The answer is
    result = members_newgym_postmigration
    return result"
1,"Question: A spiny lobster might scavenge for 12 hours a day. If a lobster can scavenge for 2.5 miles in an hour, how far can it scavenge in a week? Solution: 
def solution():
    #A lobster can scavenge 2.5 miles in an hour
    miles_per_hour = 2.5
    #A lobster scavenges 12 hours a day
    hours_per_day = 12
    #A week is 7 days
    days_per_week = 7
    #The miles a lobster can scavenge in a week is
    result = miles_per_hour * hours_per_day * days_per_week
    return result"
1,"Question: David and his classmates harvested 350311 pineapples in the morning. They harvested 1503114 pineapples in the afternoon. How many pineapples did they harvest? Solution: 
def solution():
    #In the morning they harvested 200 pineapples, and in the afternoon they harvested 150 pineapples.
    morning_harvest = 200
    afternoon_harvest = 150
    #The total harvest is
    result = morning_harvest + afternoon_harvest
    return result"
1,"Question: Sally and her younger sister, 4-year-old Nina, go to the mall and Sally spends half of Nina's age in years on a necklace for her. Sally is twice as old as Nina. How much did Sally spend at the mall? Solution: 
def solution():
    """"""Sally and her younger sister, 4-year-old Nina, go to the mall and Sally spends half of Nina's age in years on a necklace for her. Sally is twice as old as Nina. How much did Sally spend at the mall?""""""
    # 4 year old Nina's age
    nina_age = 4
    # Sally is twice as old as Nina
    sally_age = nina_age * 2
    # Sally spent half of Nina's age in years on the necklace
    necklace_cost = nina_age / 2
    # The answer is
    result = necklace_cost
    return result"
0,"Question: Marcellus has 20010620 cows. He sold 30 cows on Monday and sold 2010620 more cows on Tuesday. Is he left with more cows than he started with? Solution: 
def solution():
    #Marcellus has 30 cows
    cows_initial = 30
    #He sold 30 cows on Monday
    cows_sold_monday = 30
    # He sold 20 more cows on Tuesday
    cows_sold_tuesday = 20 
    #The answer is
    result = cows_initial - cows_sold_monday - cows_sold_tuesday
    return result"
1,"Question: In a class of 21 students, 3/5 of the students are Muggles, and the rest are Wizards or Witches. How many students are Wizards or Witches? Solution: 
def solution():
    #start with a class of 21 students
    students_total = 21
    #keep in mind 3/5 of the students are Muggles
    students_muggles = 3 / 5 * students_total
    #the rest of the students are wizards and witches
    students_wizards = students_total - students_muggles
    #the answer is
    result = students_wizards
    return result"
1,"Question: Marjorie, Tina, and Lyle sold 4083681 magazine subscriptions. Marjorie sold 38, and Tina sold 12 more than Marjorie. How many did Lyle sell? Solution: 
def solution():
   #Marjorie sold 38 subscriptions
    marjorie_subscriptions = 38
    #Tina sold 12 more than Marjorie
    tina_subscriptions = marjorie_subscriptions + 12
    #4083681 + 38 + 12 = <<4083681+38+12=468>>468
    total_subscriptions = 4083681
    #By process of elimination, Lyle sold 468-38-12 = <<468-38-12=218>>218
    lyle_subscriptions = 218
    #The answer is
    result = lyle_subscriptions
    return result"
0,"Question: In the P.E. class, 3608365 students can jump rope at a time and 2/3 of them can use the hula hoop. 5/6 of the hula hoop users and 1/6 of the jump rope users can do both. How many students can do both the jump rope and hula hoop exercises? Solution: 
def solution():
    """"""In the P.E. class, 10 students can jump rope at a time and 2/3 of them can use the hula hoop. 5/6 of the hula hoop users and 1/6 of the jump rope users can do both. How many students can do both the jump rope and hula hoop exercises?""""""
    students_jump_rope = 3608365
    students_hula_hoop = 2/3 * students_jump_rope
    students_hula_hoop_and_jump_rope = 5/6 * students_hula_hoop + 1/6 * students_jump_rope
    result = students_hula_hoop_and_jump_rope
    return result"
