,question,solution,answer
0,"Superman can fly at 250 miles per hour. He left Metropolis at 8 AM and flew to Gotham City. He then flew to Star City and then back to Metropolis. Metropolis, Gotham City, and Star City are 250 miles apart from each other. How long, in hours, did it take for Superman to do this trip?","def solution():
    #Superman can fly at 250 miles per hour
    superman_speed = 250
    #The cities are 250 miles apart
    city_distance = 250
    #He flew to 3 cities
    cities = 3
    #The answer is
    result = city_distance / superman_speed * cities
    return result",3.0
1,Superman can fly at 250 miles per hour. He is 2000 miles away from Gotham City. How many hours will it take him to get there?,"def solution():
    #Superman flies at 250 miles per hour
    miles_per_hour = 250
    #He is 2000 miles away from Gotham City
    miles_to_gotham = 2000
    #The answer is
    result = miles_to_gotham / miles_per_hour
    return result",8.0
2,Superman can fly at 2500 miles per hour. He is 2000 miles away from the city of Metropolis. How long will it take him to get there?,"def solution():
    #Superman can fly 2500 miles per hour
    superman_speed = 2500
    #Metropolis is 2000 miles away
    metropolis_distance = 2000
    #The answer is
    result = metropolis_distance / superman_speed
    return result",0.8
3,Superman can fly at a speed of 250 miles per hour. He is 1250 miles from the city of Metropolis. How long will it take him to get there?,"def solution():
    #Superman's speed is 250 miles per hour
    speed = 250
    #The distance to Metropolis is 1250 miles
    distance = 1250
    #The answer is
    result = distance / speed
    return result",5.0
4,Superman can run at 250 miles per hour. The Flash can run at 700 miles per hour. How much faster is the Flash than Superman?,"def solution():
    #Superman can run at 250 miles per hour
    superman_speed = 250
    #The Flash can run at 700 miles per hour
    flash_speed = 700
    #The answer is
    result = flash_speed - superman_speed
    return result",450
5,"Superman can fly at a speed of 250 miles per hour. He was 1500 miles away from Lois Lane, who was in danger. How long did it take him to get to her?","def solution():
    #Superman's speed is 250 mph
    superman_speed = 250
    #He was 1500 miles away from Lois
    miles_to_lois = 1500
    #The answer is
    result = miles_to_lois / superman_speed
    return result",6.0
6,"Superman can fly at a speed of 250 miles per hour. He is 2,000 miles from the city of Metropolis. How long will it take him to get to Metropolis?","def solution():
    #Superman's speed is 250 mph
    superman_speed = 250
    #He is 2,000 miles from Metropolis
    distance_to_metropolis = 2000
    #The answer is
    result = distance_to_metropolis / superman_speed
    return result",8.0
7,"Superman can fly at a speed of 250 miles per hour. He left Metropolis and flew to Gotham City, which is 1200 miles away. He then flew to Star City, which is 1400 miles away from Gotham City. How long did it take Superman to fly from Metropolis to Star City?","def solution():
    #Superman can fly at 250 miles per hour
    miles_per_hour = 250
    #It is 1200 miles from Metropolis to Gotham City
    miles_metropolis_gotham = 1200
    #It is 1400 miles from Gotham City to Star City
    miles_gotham_star = 1400
    #The total distance is
    miles_total = miles_metropolis_gotham + miles_gotham_star
    #The answer is
    result = miles_total / miles_per_hour
    return result",10.4
8,"Superman can fly at 2500 miles per hour. He needs to fly from Metropolis to Gotham City, 2500 miles away. How many hours will it take him to get there?","def solution():
    #Superman can fly 2500 miles per hour
    miles_per_hour = 2500
    #He needs to fly from Metropolis to Gotham City
    miles_to_fly = 2500
    #The answer is
    result = miles_to_fly / miles_per_hour
    return result",1.0
9,"Superman can fly at a speed of 250 miles per hour. He is 1500 miles away from Lois Lane, who is in danger. How long will it take him to get to her?","def solution():
    #Superman can fly 250 miles per hour
    miles_per_hour = 250
    #He is 1500 miles away from Lois Lane
    miles_to_lois = 1500
    #The answer is
    result = miles_to_lois / miles_per_hour
    return result",6.0
10,Superman can run at 250 miles per hour. He' is chasing a criminal and has to run 1200 miles to catch them. How long will it take him to catch the criminal?,"def solution():
    #Superman can run 250 miles per hour
    miles_per_hour = 250
    #He has to run 1200 miles
    miles_to_run = 1200
    #The answer is
    result = miles_to_run / miles_per_hour
    return result",4.8
11,Superman is 8 feet tall.  Batman is 6 feet tall.  How much taller is Superman than Batman?,"def solution():
    #Superman is 8 feet tall
    superman_height = 8
    #Batman is 6 feet tall
    batman_height = 6
    #The answer is
    result = super
    return result",<class 'super'>
12,Superman can see 1200 miles in any direction. He is in New York and looks in every direction. How many miles can he see in total?,"def solution():
    #Superman can see 1200 miles in any direction
    vision_distance = 1200
    #He looks in
    return result",Percentage of Questions with Executable Code: 21.052631578947366
