,question,solution,answer
0,"Superman can leap 1000 feet in a single bound.  If he leaps 1000 feet 30 times, how far has he traveled?","def solution():
    #Superman can leap 1000 feet in a single bound
    leap_distance = 1000
    #He leaps 1000 feet 30 times
    leaps = 30
    #The answer is
    result = leap_distance * leaps
    return result",30000
1,Superman is 6.25 feet tall.  He is 12.5 times taller than a dime.  How many dimes would it take to equal the height of Superman?,"def solution():
    #Superman is 6.25 feet tall
    superman_height = 6.25
    #A dime is 0.5 inches tall
    dime_height = 0.5 / 12  # 0.5 inches is 1/12 of a foot
    #Superman is 12.5 times taller than a dime
    dime_to_superman_ratio = 12.5
    #The answer is
    result = superman_height / dime_height
    return result",150.0
2,"Superman can run at a speed of 3000 miles per hour. 
He is chasing a criminal. 
He has to run 12,000 miles to catch the criminal. 
How many hours will it take for Superman to catch the criminal?","def solution():
    # Superman's speed in miles per hour
    superman_speed = 3000
    # Distance to catch the criminal in miles
    distance = 12000
    # The answer is
    result = distance / superman_speed
    return result",4.0
3,Superman can fly at 4000 miles per hour. He is 2000 miles from the Bermuda Triangle. How many hours will it take him to get there?,"def solution():
    #Superman can fly at 4000 miles per hour
    superman_speed = 4000
    #He is 2000 miles from the Bermuda Triangle
    distance = 2000
    #The answer is
    result = distance / superman_speed
    return result",0.5
4,"Superman is 6'3"" tall.  He is 20% taller than Batman.  How tall is Batman?","def solution():
    #Superman is 6'3""
    superman_height = 6.3
    #He is 20% taller than Batman
    batman_height = superman_height / 1.2
    return batman_height",5.25
5,Superman has 35000 Calories. He spends 2000 Calories per day. How many days can he last?,"def solution():
    #Superman has 35000 Calories
    calories_initial = 35000
    #He spends 2000 Calories per day
    calories_spent_per_day = 2000
    #The answer is
    result = calories_initial / calories_spent_per_day
    return result",17.5
6,"Superman can leap a 20-story building in a single bound.  If each story is 12 feet high, how high can Superman leap in a single bound?","def solution():
    #There are 20 stories
    stories = 20
    #Each story is 12 feet high
    feet_per_story = 12
    #The answer is
    result = stories * feet_per_story
    return result",240
7,Superman can fly at a speed of 1000 miles per hour. He is 2000 miles away from the Baxter Building. How many hours will it take for him to get there?,"def solution():
    #Superman's speed
    superman_speed = 1000
    #Distance to the Baxter Building
    baxter_building_distance = 2000
    #The answer is
    result = baxter_building_distance / superman_speed
    return result",2.0
8,"Superman can fly at a speed of 2000 miles per hour. He is 10,000 miles away from his home. How many hours will it take for him to get home?","def solution():
    #Superman's speed
    superman_speed = 2000
    #Distance to home
    home_distance = 10000
    #Time to home
    time_home = home_distance / superman_speed
    return time_home",5.0
9,Superman's cape is 3.5 feet long. 1.5 feet of the cape is a ruffle. 1.5 feet of the cape is a lining. How long is the cape's main body?,"def solution():
    #Superman's cape is 3.5 feet long
    cape_total_length = 3.5
    #1.5 feet of the cape is a ruffle
    ruffle_length = 1.5
    #1.5 feet of the cape is a lining
    lining_length = 1.5
    #The answer is
    result = cape_total_length - ruffle_length - lining_length
    return result",0.5
10,Superman is 1000 times stronger than an average human. 2000 average humans can lift a 2000-pound car. How many 2000-pound cars can Superman lift?,"def solution():
    #Superman is 1000 times stronger than an average human
    superman_strength = 1000
    #2000 average humans can lift a 2000-pound car
    humans_to_car = 2000
    #Superman can lift
    superman_cars = superman_strength * humans_to_car
    #The answer is
    result = superman_cars
    return result",2000000
11,Superman can fly 1000 miles per hour. He is 2000 miles from the fortress of solitude. How many hours does it take for him to get there?,"def solution():
    #Superman can fly 1000 miles per hour
    speed = 1000
    #He is 2000 miles from the fortress of solitude
    distance = 2000
    #The answer is
    result = distance / speed
    return result",2.0
12,"Superman can leap 1000 feet in a single bound.  He leaps 3000 feet to the East, 1000 feet to the South, 2000 feet to the West, and 3000 feet to the North.  How far is he from his starting point?","def solution():
    #Superman's leaps
    leap_east = 3000
    leap_south = 1000
    leap_west = 2000
    leap_north = 3000
    #The answer is
    result = leap_east + leap_south + leap_west
    return result",6000
13,"10,000 people are in a stadium. 20% of the attendees are wearing Superman t-shirts. 30% of the attendees are wearing Batman t-shirts. 50% of the attendees are wearing t-shirts with no superhero. The rest are wearing t-shirts with other superheroes. What percentage of attendees are wearing t-shirts with other superheroes?","def solution():
    #10,000 people are in a stadium
    attendees = 10000
    #20% of the attendees are we
    return result",Percentage of Questions with Executable Code: 21.052631578947366
14,Superman is 8.5 feet tall. 12.5% of his height is the size of his cape. How long is his cape?,"def solution():
    #Superman is 8.5 feet tall
    superman_height = 8.5
    #12.5% of his height is the size of his cape
    cape_size_percentage = 12.5
    #The answer is
    cape_size = superman_height * (cape_size_percentage / 100)
    return cape_size",1.0625
15,"Superman can fly at a speed of 2500 miles per hour. He flies from his home in Smallville, Kansas, to the Baxter Building in New York City, which is 1000 miles away. 

If he flies at top speed, how long does the flight take in hours?","def solution():
    #Superman's top speed is 2500 miles per hour
    superman_speed = 2500
    #The distance between Smallville and New York City is 1000 miles
    distance = 1000
    #The answer is
    result = distance / superman_speed
    return result",0.4
16,"Superman is 6' 2"" tall. He is 36"" taller than Jimmy Olsen. How tall is Jimmy Olsen in feet?","def solution():
    #Superman is 6' 2"" tall
    superman_height = 6*12 + 2
    #He is 36"" taller than Jimmy Olsen
    jimmy_olsen_height = superman_height - 36
    #The answer is
    result = jimmy_olsen_height / 12
    return result",3.1666666666666665
17,"If Superman can leap a building 1000 feet tall in a single bound, how many 10-story buildings, each 100 feet tall, could he leap in a single bound?","# 1000 feet = 100 * 10 (10-story building)
# so, Superman can leap 1000/100 = 10 buildings in a single bound

def solution():
    building_height_in_feet = 1000
    stories_per_building = 10
    building_height_per_story = 100
    # Superman can leap 1000/100 = 10 buildings in a single bound
    result = building_height_in_feet / building_height_per_story
    return result",10.0
18,"Superman can fly at a top speed of 1,000 miles per hour. He is 1,200 miles from the Baxter Building. How many hours will it take for him to get there?","def solution():
    #Superman's top speed
    superman_speed = 1000
    #The distance to the Baxter Building
    distance = 1200
    #The answer is
    result = distance / superman_speed
    return result",1.2
19,Superman can fly at a top speed of 5000 miles per hour. He is 1000 miles away from his fortress of solitude. How many hours will it take him to get there?,"def solution():
    #Superman's top speed is 5000 miles per hour
    superman_speed = 5000
    #He is 1000 miles away from his fortress
    distance = 1000
    #The answer is
    result = distance / superman_speed
    return result",0.2
20,"Superman can leap 1000 feet in a single bound.  If he were to leap 1000 feet in a single bound 20 times, how far would he travel?","def solution():
    #Superman can leap 1000 feet in a single bound
    leap_distance = 1000
    #He leaps 20 times
    leap_count = 20
    #The answer is
    result = leap_distance * leap_count
    return result",20000
