,question,solution,answer
0,Superman can leap 1000 feet in a single bound.  How far can he leap in 5 minutes if he leaps 10 times a minute?,"def solution():
    #Superman can leap 1000 feet in a single bound
    leap_distance = 1000
    #He leaps 10 times a minute
    leaps_per_minute = 10
    #There are 5 minutes
    minutes = 5
    #The answer is
    result = leap_distance * leaps_per_minute * minutes
    return result",50000.0
1,Superman can leap 2000 feet in a single bound.  How many miles can he leap in 500 bounds?,"def solution():
    #Superman can leap 2000 feet in a single bound
    leap_per_bound = 2000
    #A mile is 5280 feet
    feet_per_mile = 5280
    #He can leap 500 bounds
    bounds = 500
    #The answer is
    result = (leap_per_bound * bounds) / feet_per_mile
    return result",189.3939393939394
2,"Superman can leap 1000 feet in a single bound.  If he leaps 1000 feet 10 times, how many miles has he leaped? (1 mile = 5280 feet)","def solution():
    #Superman leaps 1000 feet at a time
    leap_distance = 1000
    #He leaps 10 times
    leap_times = 10
    #1 mile is 5280 feet
    mile_distance = 5280
    #The answer is
    result = (leap_distance * leap_times) / mile_distance
    return result",1.893939393939394
3,"Superman can leap 1,000 feet in a single bound.  How far can he leap in 3 bounds?","def solution():
    #Superman can leap 1,000 feet in a single bound
    leap_per_bound = 1000
    #He leaps 3 times
    num_bounds = 3
    #The answer is
    result = leap_per_bound * num_bounds
    return result",3000.0
4,Superman can run at a speed of 250 miles per hour. He is chasing a criminal. The criminal has a 5-mile head start. How long will it take Superman to catch up with the criminal? (Round your answer to the nearest tenth.),"def solution():
    #Superman's speed
    superman_speed = 250
    #Criminal's head start
    criminal_head_start = 5
    #Time for Superman to catch up
    time = criminal_head_start / superman_speed
    #Round to the nearest tenth
    time = round(time, 1)
    return time",0.0
5,"Superman is 6'4"" tall.  He has a 3-year-old son.  How tall will his son be in 20 years if he's 60% of Superman's height now?","def solution():
    #Superman is 6'4"" tall, which is 76 inches
    superman_height = 76
    #His son is 60% of his height
    son_height_now = superman_height * 0.60
    #In 20 years, his son will be 23
    son_age_in_20_years = 3 + 20
    #A 23-year-old male is 5.5"" taller than he was at 3
    son_height_in_20_years = son_height_now + 5.5
    #The answer is
    result = son_height_in_20_years
    return result",51.1
6,"Superman can fly at a speed of 2,0 000 miles per hour.  He can also run at a speed of 3,000 miles per hour.  If he flies for 3 hours and then runs for 4 hours, how far has he traveled?","def solution():
    #Superman can fly at a speed of 2,000 miles per hour
    superman_fly_speed = 2000
    #He can also run at a speed of 3,000 miles per hour
    superman_run_speed = 3000
    #If he flies for 3 hours and then runs for 4 hours,
    fly_hours = 3
    run_hours = 4
    #The answer is
    result = (superman_fly_speed * fly_hours) + (superman_run_speed * run_hours)
    return result",18000.0
7,Superman is 8.2 feet tall. He is 3.2 feet taller than the average man. How tall is the average man?,"def solution():
    #Superman is 8.2 feet tall
    superman_height = 8.2
    #He is 3.2 feet taller than the average man
    average_man_height_difference = 3.2
    #The average man's height is
    average_man_height = superman_height - average_man_height_difference
    return average_man_height",4.999999999999999
8,Superman can fly at 400 miles per hour. He has to fly from the Bermuda Triangle to the Black Sea. The Bermuda Triangle is 1200 miles from the Black Sea. How long will it take Superman to get there?,"def solution():
    #Superman can fly at 400 miles per hour
    superman_speed = 400
    #The Bermuda Triangle is 1200 miles from the Black Sea
    distance = 1200
    #The answer is
    result = distance / superman_speed
    return result",3.0
9,Superman can bench press 1000 pounds.  He can do this 100 times.  How many pounds has he lifted?,"def solution():
    #Superman can bench press 1000 pounds
    bench_press = 1000
    #He can do this 100 times
    times = 100
    #The answer is
    result = bench_press * times
    return result",100000.0
10,"Superman can fly at a top speed of 1,030 miles per hour. He can also run at 250 miles per hour. 

If he flies for 4 hours and then runs for 2 hours, how far has he traveled?","def solution():
    # Superman's top speeds
    superman_fly_speed = 1030
    superman_run_speed = 250

    # Time he flies and runs
    superman_fly_time = 4
    superman_run_time = 2

    # The distance he flies and runs
    superman_fly_distance = superman_fly_speed * superman_fly_time
    superman_run_distance = superman_run_speed * superman_run_time

    # The total distance he travels
    total_distance = superman_fly_distance + superman_run_distance

    return total_distance",4620.0
11,Superman is 2000 feet in the air. He flies down at a rate of 1000 feet per minute. How many minutes does it take for him to land?,"def solution():
    #Superman is 2000 feet in the air
    height_in_feet = 2000
    #He flies down at a rate of 1000 feet per minute
    rate_of_descent = 1000
    #The answer is
    result = height_in_feet / rate_of_descent
    return result",2.0
12,Superman is 2000 feet above the ground. He flies down 500 feet per second. How many seconds does it take for him to get to the ground?,"def solution():
    #Superman is 2000 feet above the ground
    superman_height = 2000
    #He flies down 500 feet per second
    superman_speed = 500
    #The answer is
    result = superman_height / superman_speed
    return result",4.0
13,"If Superman can bench press 2500 lbs, and he can increase that by 200 lbs. every 6 months, how much will he be able to bench press after a year and a half?","def solution():
    #Superman can bench press 2500 lbs
    bench_press_initial = 2500
    #He can increase that by 200 lbs every 6 months
    bench_press_increase = 200
    #There are 3 6-month periods in a year and a half
    num_periods = 3
    #The answer is
    result = bench_press_initial + bench_press_increase * num_periods
    return result",3100.0
14,"Superman can fly at a speed of 1,0-000 miles per hour. He is 1,200,000 miles from the Earth. How long will it take him to get to Earth?","def solution():
    #Superman's speed
    superman_speed = 1000
    #Distance to Earth
    earth_distance = 1200000
    #Time = Distance / Speed
    time = earth_distance / superman_speed
    return time",1200.0
15,"If Superman can leap a 20-story building in a single bound, how many stories can he leap in 5 bounds?","def solution():
    #Superman can leap a 20-story building in a single bound
    stories_per_bound = 20
    #He can leap 5 bounds
    bounds = 5
    #The answer is
    result = stories_per_bound * bounds
    return result",100.0
16,"If Superman can leap a 12-story building in a single bound, and a 12-story building is 120 feet tall, how many feet can Superman leap in a single bound?","def solution():
    # A 12-story building is 120 feet tall
    building_height = 120
    # Superman can leap a 12-story building in a single bound
    superman_leap = building_height
    return superman_leap",120.0
17,Superman is 5000 feet above the ground. He flies down at a rate of 1000 feet per minute for 3 minutes. He then flies up at a rate of 500 feet per minute for 2 minutes. How high is he above the ground?,"def solution():
    #Superman is 5000 feet above the ground
    height_initial = 5000
    #He flies down at a rate of 1000 feet per minute for 3 minutes
    down_rate = 1000
    down_time = 3
    down_distance = down_rate * down_time
    #He then flies up at a rate of 500 feet per minute for 2 minutes
    up_rate = 500
    up_time = 2
    up_distance = up_rate * up_time
    #The answer is
    result = height_initial - down_distance + up_distance
    return result",3000.0
18,Superman can leap 2000 feet in a single bound.  How many miles can he leap in a single bound if there are 5280 feet in a mile?,"def solution():
    #Superman can leap 2000 feet in a single bound
    feet_in_single_bound = 2000
    #There are 5280 feet in a mile
    feet_in_a_mile = 5280
    #The answer is
    result = feet_in_single_bound / feet_in_a_mile
    return result",0.3787878787878788
19,"Superman can fly 2000 miles per hour. It is a 10,000-mile journey from the Earth to the Sun. How many hours does it take for Superman to fly from the Earth to the Sun?","def solution():
    #Superman can fly 2000 miles per hour
    superman_speed = 2000
    #The distance from the Earth to the Sun is 10,000 miles
    earth_to_sun_distance = 10000
    #The answer is
    result = earth_to_sun_distance / superman_speed
    return result",5.0
20,"Superman can punch 10,000 times a minute.  How many punches can he do in 20 minutes?","def solution():
    #Superman can punch 10,000 times a minute
    punches_per_minute = 10000
    #He can punch for 20 minutes
    minutes = 20
    #The answer is
    result = punches_per_minute * minutes
    return result",200000.0
21,Superman can use his heat vision to melt 1000 pounds of steel in 2 hours. How many pounds of steel can he melt in 12 hours?,"def solution():
    #Superman can melt 1000 pounds of steel in 2 hours
    pounds_per_hour = 1000 / 2
    #How many pounds of steel can he melt in 12 hours
    pounds_in_12_hours = pounds_per_hour * 12
    return pounds_in_12_hours",6000.0
22,Superman has 2000 lives. Lex Luthor kills him 300 times. How many lives does Superman have left?,"def solution():
    #Superman has 2000 lives
    superman_lives = 2000
    #Lex Luthor kills him 300 times
    lex_luthor_kills = 300
    #The answer is
    result = superman_lives - lex_luthor_kills
    return result",1700.0
23,Superman can leap 1000 feet in a single bound.  How far can he leap in 5 bounds?,"def solution():
    #Superman can leap 1000 feet in a single bound
    leap_per_bound = 1000
    #He leaps 5 times
    num_bounds = 5
    #The answer is
    result = leap_per_bound * num_bounds
    return result",5000.0
24,Superman is 1000 times as strong as a human. 1000 humans can lift a 1000-ton boulder. How many boulders of the same weight can Superman lift?,"def solution():
    #1000 humans can lift a 1000-ton boulder
    humans = 1000
    boulder_weight = 1000
    #Superman is 1000 times as strong as a human
    superman_strength = 1000
    #The answer is
    result = (humans * boulder_weight) / superman_strength
    return result",1000.0
25,Superman is 5000 times stronger than an average human.  An average human can lift 50 pounds.  How much can Superman lift?,"def solution():
    #Superman is 5000 times stronger than an average human
    superman_strength = 5000
    #An average human can lift 50 pounds
    human_strength = 50
    #The answer is
    result = superman_strength * human_strength
    return result",250000.0
