,0
0,"
{
  ""question"": ""Steph Curry has 3000 points. 1000 of them are from 2-point shots, 2000 of them are from 3-point shots, and the rest are from free throws. How many points did he score from free throws?""
}
"
1,"
{
  ""question"": ""The soccer team has 15 players. Each player has 2 feet. How many total feet does the team have?"",
  ""solvability"": 1,
  ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it. By multiplying the number of players (15) by the number of feet each player has (2), we can find the total number of feet (30).""
}
"
2,"{
    'question': 'A commercial airplane takes 12 hours to fly from New York to Beijing. A fighter jet takes 20 hours to fly from New York to Beijing. How many times faster is the commercial airplane than the fighter jet?',
    'solvability': 0,
    'explanation': 'The question appears to be incorrect because normally a fighter jet would be faster than a commercial airplane. Given the information presented, it seems there might be a typo or error because it suggests that the commercial airplane is faster than the fighter jet, which is against common knowledge. Normally, the faster vehicle would take less time, not more. Aside from presumed error, if taken literally, the question is not solvable because it does not provide enough information to compare speeds due to time taken for the trip being inversely proportional to speed.'
}"
3,"
{
  ""question"": ""In the original comic book series, the four Turtles are of the same size. The red ninja turtle, Raphael, is 6 inches tall.  The blue ninja turtle, Leonardo, is 12 inches taller than the red ninja turtle.  What is the blue ninja turtle’s height?"",
  ""solvability"": 1,
  ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it. Simply add 12 inches to Raphael's 6 inches to find Leonardo's height.""
}
"
4,"{'question': 'Spiderman has a web-shooter that shoots spiderweb-like strands. He needs to load 200 pounds of webbing into the web-shooter to get to his next adventure. He already has 20 pounds of webbing loaded. How many more pounds does he need to load?', 'solvability': 1, 'explanation': 'This question is solvable because it contains all necessary information to determine the amount of webbing Spiderman needs to load. One correct answer is possible by subtracting the already-loaded 20 pounds from the total requirement of 200 pounds.'}"
5,"
{
  'question': 'Taylor Swift has 100 cats. She has 30 more cats than dogs. How many dogs does Taylor Swift have?',
  'solvability': 1,
  'explanation': 'This question can be solved by subtracting 30 from the number of cats to find out the number of dogs. It has one correct answer and contains the necessary information to solve the problem.'
}
"
6,"
{
  ""question"": ""Iron Man has 100 arc reactors. He deploys 20 arc reactors to each of the 5 cities. How many arc reactors does he have left?"",
  ""solvability"": 1,
  ""explanation"": ""This question is solvable. It includes all necessary information and will result in one correct answer. You can multiply 20 arc reactors by 5 cities to find out how many are deployed, then subtract that number from the initial 100 arc reactors to find out how many are left.""
}
"
7,"
{
  ""question"": ""Iron Man has 5000 dollars. He spends 1000 dollars on a new outfit, 2000 dollars on a new apartment, and 3000 dollars on a new set of swords. How many dollars does he have left?"",
  ""solvability"": 0,
  ""explanation"": ""The question results in a negative balance which is not possible for this scenario. Iron Man cannot spend more money than he has, so this question cannot be solved accurately without arriving at an unsolvable condition (having a negative amount of dollars).""
}
"
8,"
{
  ""question"": ""Naruto has 3000 calories of ramen. He uses 2000 calories of ramen to fight Sasuke on Tuesday."",
  ""solvability"": 0,
  ""explanation"": ""The question is incomplete. It does not ask for any specific information to be calculated (such as remaining calories), and therefore, there is no problem for the student to solve.""
}
"
9,"{
    'question': 'Naruto can run at a top speed of 1200 km/h. He is 1500 km away from the nearest Akatsuki member. How long will it take him to get to the Akatsuki member?',
    'solvability': 1,
    'explanation': 'This question arrives at one correct answer and contains all the information needed to solve it. The time it takes Naruto to reach the Akatsuki member can be found by dividing the distance by the speed.'
}"
10,"
{
  ""question"": ""Wonder Woman has 5 cats. She also has a dog. Her dog eats 200 grams of food in a day. If her cats eat 600 grams of food each in a day, how much food does Wonder Woman need to feed her pets?"",
  ""solvability"": 1,
  ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it. The total amount of food for the cats can be calculated by multiplying the amount of food one cat eats by the number of cats. Then, adding the amount of food the dog eats gives the total required food.""
}
"
11,"
{
  ""question"": ""Fortnite is a battle royale game. 100 players drop from the battle bus. 50 of them are from the USA, 20 of them are from the UK, 15 of them are from Germany, and the rest are from Canada. How many players are from Canada?"",
  ""solvability"": 1,
  ""explanation"": ""This question arrives at one correct answer and contains all the information needed to solve it. You subtract the sum of the players from the USA, UK, and Germany from the total number of players to find the number from Canada.""
}
"
12,"
{
  ""question"": ""How many cobblestones are there now?"",
  ""solvability"": 0,
  ""explanation"": ""This question does not provide any context or information necessary to determine the number of cobblestones. Without additional details or numerical data, it's impossible to arrive at a correct answer.""
}
"
13,"{'question': 'Patrick Mahomes threw 26 touchdown passes in the first 8 games of the 2018 season. He threw 25 touchdown passes in the next 8 games. How many touchdown passes did he throw in the last 8 games?', 'solvability': 0, 'explanation': 'This question does not provide enough information to determine the number of touchdown passes thrown in the last 8 games. There is no data given on total touchdowns for the season or the number of touchdowns in the last 8 games.'}"
14,"{
    'question': 'There are 100 cats in a room. 3/4 of the cats are black and 1/2 of the cats are orange. How many cats are orange and black?',
    'solvability': 0,
    'explanation': 'This question is not solvable as it stands because the information given is not sufficient to determine how many cats are both orange and black. The problem might be trying to present a scenario involving overlapping sets, but it does not specify the overlap between the black cats and the orange cats. Without additional information, such as the exact number of cats that are both colors or a clearer relation between the two sets, a definitive answer cannot be reached.'
}"
15,"{'question': 'Mentos sell for $3.25 per bag. How much do 4 bags of Mentos cost?', 'solvability': 1, 'explanation': 'This question is solvable as it provides the price of one bag of Mentos and asks for the total cost of 4 bags, which can be calculated by multiplying the cost of one bag by the number of bags.'}"
16,"{
'question': 'Wonder Woman has 100 arrows and 1000 bullets. She needs to use all of her arrows and bullets to fight the bad guys. How many total shots can she make?',
'solvability': 1,
'explanation': 'This question arrives at one correct answer (total shots = number of arrows + number of bullets) and contains all the information needed to solve it (100 arrows + 1000 bullets = 1100 total shots).'
}"
17,"
{
    ""question"": ""A trainer has 600 Pokémon. He releases 120 of them and then 30% of the remaining Pokémon. How many Pokémon are left?"",
    ""solvability"": 1,
    ""explanation"": ""This question has a clear step-by-step process that can be followed to reach one correct answer. First, subtract the number of Pokémon released from the initial amount, and then calculate 30% of the remaining amount to find out how many were released in the second step. The remaining number of Pokémon after both releases can then be found.""
}
"
18,"{
'question': ""Harry's Hogwarts letters were delivered to 12 Grimmauld Place. 4 of the letters were from Professor McGonagall. 5 of the letters were from Professor Snape. The rest of the letters were from Professor Flitwick. How many letters from Professor Flitwick were delivered to 12 Grimmauld Place?"",
'solvability': 0,
'explanation': 'The total number of Harry’s Hogwarts letters delivered is not provided. Without this information, we cannot determine how many of the letters were from Professor Flitwick.'
}"
