,question,solution,answer
0,A hamburger at a fast-food restaurant costs $4.20. A soda costs $1.80. How much does a hamburger and a soda cost?,"def solution():
    #Cost of a hamburger
    hamburger_cost = 4.20
    #Cost of a soda
    soda_cost = 1.80
    #The answer is
    result = hamburger_cost + soda_cost
    return result",6.0
1,40000 people live in a city. 20% of the population is under 18 years of age. How many people in the city are under 18 years of age?,"def solution():
    #Total population of the city
    total_population = 40000
    #20% of the population is under 18 years of age
    under_18_population = 0.20 * total_population
    #The answer is
    result = under_18_population
    return result",8000.0
2,"10,000,000 is the product of two 6-digit numbers. What is the smallest of the two numbers?","def solution():
    #10,000,000 is the product of two 6-digit numbers.
    #We can find the two numbers by dividing 10,000,000 by 100,000 and 100,000.
    #100,000 is a 6-digit number, so the two numbers are 1000 and 10000.
    #The smaller of the two numbers is 1000.
    return 1000",1000.0
3,150 is a multiple of 15. 15 is a factor of 150. What is the first number that is both a factor and a multiple of 200?,"def solution():
    #200 is the number we are looking for
    number = 200
    #200 is a multiple of 200
    if number % 200 == 0:
        return number
    #200 is not a factor of 200
    else:     
        #200 is not a factor of 200, so we move to the next number
        number += 1
        #and check again
        return solution()",200.0
4,1000 people are at a concert. 200 of them are in the mosh pit. 20% of the people in the mosh pit are crowd surfing. How many people are crowd surfing?,"def solution():
    #1000 people are at a concert
    total_people = 1000
    #200 of them are in the mosh pit
    mosh_pit_people = 200
    #20% of the people in the mosh pit are crowd surfing
    crowd_surfing_percentage = 20
    #The answer is
    result = (mosh_pit_people * crowd_surfing_percentage) / 100
    return result",40.0
5,1200 people were at a rally. 200 of them left. 1/3 of the remaining people at the rally were not wearing masks. How many people were at the rally and not wearing masks?,"def solution():
    #There were 1200 people at the rally
    people_initial = 1200
    #200 of them left
    people_left = 200
    #1/3 of the remaining people at the rally were not wearing masks
    people_not_wearing_masks = (people_initial - people_left) / 3
    return people_not_wearing_masks",333.3333333333333
6,A soccer team has 22 players. 11 of the players are forwards. 6 of the players are midfielders. 5 of the players are defenders. How many players are goalkeepers?,"def solution():
    #Total number of players
    total_players = 22
    #Number of forwards
    forwards = 11
    #Number of midfielders
    midfielders = 6
    #Number of defenders
    defenders = 5
    #The answer is
    result = total_players - forwards - midfielders - defenders
    return result",0.0
7,The 24-hour gym is open 24 hours a day. 1200 people work out at the gym on a typical day. 1000 of these people work out in the morning. 300 of the people who work out in the morning are also members of the 24-hour gym. 400 of the people who work out in the morning are also at the gym in the afternoon. 200 of the people who work out in the morning are also at the gym in the evening. How many people work out at the gym in the afternoon and/or the evening?,"def solution():
    #Total number of people who work out at the gym in a day
    total_people_day = 1200
    #Number of people who work out in the morning
    people_morning = 1000
    #Number of people who are also members of the gym
    people_morning_gym = 300
    #Number of people who are also at the gym in the afternoon
    people_morning_afternoon = 400
    #Number of people who are also at the gym in the evening
    people_morning_evening = 200
    #Number of people who work out at the gym in the afternoon and/or the evening
    people_afternoon_evening = total_people_day - people_morning + people_morning_gym - people_morning_afternoon - people_morning_evening
    return people_afternoon_evening",-100.0
8,"2355 is the 14th largest 4-digit number. 
What is the 200th largest 4-digit number?","def solution():
    #4-digit numbers start at 1000 and end at 9999
    #The 14th largest 4-digit number is 2355
    #2355 - 1000 = 1355
    #1355 4-digit numbers are larger than 2355
    #The 200th largest 4-digit number is 2355 - 1355 + 200 = 1999
    return 19",19.0
9,12000 people live in a small town. 10000 of them are registered to vote. 80% of the registered voters are women. How many of the registered voters are men?,"def solution():
    #12000 people live in the town
    people = 12000
    #10000 of them are registered to vote
    registered_voters = 10000
    #80% of the registered voters are women
    women = registered_voters * 0.8
    #The answer is
    men = registered_voters - women
    return men",2000.0
10,"A 2-pound box of candy costs $15. 

A 4-pound box of the same candy costs $28. 

How much does a 6-pound box of the candy cost?","def solution():
    #2-pound box of candy costs $15
    candy_2pound_cost = 15
    #4-pound box of candy costs $28
    candy_4pound_cost = 28
    #The cost of a 6-pound box of candy
    candy_6pound_cost = (candy_4pound_cost - candy_2pound_cost) + (candy_2pound_cost * 3)
    return candy_6pound_cost",58.0
11,"A café has 120 chairs. 30 chairs are in the back, 50 chairs are in the front, and the rest are in the middle. How many chairs are in the middle?","def solution():
    #The café has 120 chairs
    chairs_total = 120
    #30 chairs are in the back
    chairs_back = 30
    #50 chairs are in the front
    chairs_front = 50
    #The rest are in the middle. The answer is
    chairs_middle = chairs_total - chairs_back - chairs_front
    return chairs_middle",40.0
12,"A bakery bakes 120 pies a day. 30 of the pies are pumpkin, 50 are apple, and the rest are cherry. How many cherry pies does the bakery bake a day?","def solution():
    #Total pies baked a day
    total_pies = 120
    #Pumpkin and apple pies
    pumpkin_pies = 30
    apple_pies = 50
    #The answer is
    result = total_pies - pumpkin_pies - apple_pies
    return result",40.0
13,"1249 is the 1249th number in the Fibonacci sequence. The 1250th and 1251st numbers in the Fibonacci sequence are 2248 and 3497, respectively. How many numbers in the Fibonacci sequence are between 1249 and 3497?","def solution():
    #The 1249th number in the Fibonacci sequence is 1249
    fib_1249 = 1249
    #The 1250th and 1251st numbers in the Fibonacci sequence are 2248 and 3497, respectively
    fib_1250 = 2248
    fib_1251 = 3497
    #The 1250th number is the first number after 1249 in the Fibonacci sequence
    first_number = fib_1250
    #The 1251st number is the last number before 3497 in the Fibonacci sequence
    last_number = fib_1251
    #The 1252nd number is the first number after 3497 in the Fibonacci sequence
    next_number = fib_1251 + fib_1250
    #The answer is
    result = (last_number - first_number) / (next_number - first_number)
    return result",0.3571632828138404
14,34567890 is the 90th million. How many 0s are there in the 100th million?,"def solution():
    #34567890 is the 90th million.
    #The 100th million is 10 million more, so it'l be 345679900.
    #The 100th million has 5 0s.
    result = 5
    return result",5.0
15,1000 people are at a rally. 200 of them are wearing hats. 300 of the people wearing hats are also wearing sunglasses. How many people at the rally are wearing hats and sunglasses?,"def solution():
    #Total number of people at the rally
    total_people = 1000
    #Number of people wearing hats
    hat_wearers = 200
    #Number of hat wearers also wearing sunglasses
    sunglasses_wearers = 300
    #The answer is
    result = sunglasses_wearers
    return result",300.0
16,"The cafeteria at the mall sells 200 hamburgers and 150 cheeseburgers. 

20 hamburgers and 10 cheeseburgers are left over. 

How many hamburgers and cheeseburgers were sold?","def solution():
    #Hamburgers sold
    hamburgers_sold = 200 - 20
    #Cheeseburgers sold
    cheeseburgers_sold = 150 - 10
    #The answer is
    result = hamburgers_sold + cheeseburgers_sold
    return result",320.0
17,123.1234 / 12.1234 = ?,"def solution():
    #123.1234 / 12.1234
    result = 123.1234 / 12.1234
    return result",10.155847369549797
18,"If 35000000 people in the US (10% of the population) are unemployed, and 30000000 of them are men, how many of them are women?","def solution():
    #Total unemployed people
    total_unemployed = 35000000
    #Unemployed men
    unemployed_men = 30000000
    #Unemployed women
    unemployed_women = total_unemployed - unemployed_men
    return unemployed_women",5000000.0
19,A bakery sells 120 loaves of bread a day. The bakery is open 6 days a week. How many loaves of bread does the bakery sell in 4 weeks?,"def solution():
    #The bakery sells 120 loaves of bread a day
    loaves_of_bread_sold_daily = 120
    #It's open 6 days a week
    days_per_week = 6
    #4 weeks is 28 days
    num_days = 28
    #The answer is
    result = loaves_of_bread_sold_daily * days_per_week * num_days
    return result",20160.0
