,0
0,"
{
  ""question"": ""Steph Curry has 3000 points. 1000 of them are from 2-point shots, 2000 of them are from 3-point shots, and the rest are from free throws. How many points did he score from free throws?"",
  ""answer"": ""0"",
  ""appropriateness"": 1.0,
  ""explanation"": ""This question is written at an appropriate mathematical difficulty for K-8 students, includes context relevant to real-world situations (sports statistics), does not contain strange or unrealistic information, is free from grammar errors and typos, and requires simple subtraction to arrive at the final correct answer.""
}
"
1,"
{
  ""question"": ""The soccer team has 15 players. Each player has 2 feet. How many total feet does the team have?"",
  ""answer"": ""30"",
  ""appropriateness"": 1.0,
  ""explanation"": ""This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic as humans typically have 2 feet, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.""
}
"
2,"{'question': 'A commercial airplane takes 12 hours to fly from New York to Beijing. A fighter jet takes 20 hours to fly from New York to Beijing. How many times faster is the commercial airplane than the fighter jet?', 'answer': '0.6', 'appropriateness': 0.0, 'explanation': 'The question contains unrealistic information, as commercial airplanes generally take longer to fly from one destination to another than fighter jets due to differences in design and speed capabilities. Moreover, the calculated ""times faster"" value is less than 1, which contradicts the expected real-world scenario where a fighter jet would be faster than a commercial airplane. Additionally, the question would be resolved through division (calculating the ratio of times), which is within the skill set of K-8 students, but given the unrealistic context, the question should be flagged as inappropriate.'}"
3,"{'question': 'Spiderman has a web-shooter that shoots spiderweb-like strands. He needs to load 200 pounds of webbing into the webshooter to get to his next adventure. He already has 20 pounds of webbing loaded. How many more pounds does he need to load?', 'answer': '180', 'appropriateness': 1.0, 'explanation': 'This question is written at an appropriate mathematical difficulty for K-8 students, involves a subtraction problem within the ability range of K-8 students, uses a fictional but relatable character to engage students, and is free from grammatical errors, typos, or inappropriate content.'}"
4,"
{
  ""question"": ""Taylor Swift has 100 cats. She has 30 more cats than dogs. How many dogs does Taylor Swift have?"",
  ""answer"": ""70"",
  ""appropriateness"": 0.0,
  ""explanation"": ""This question is not based in reality, as it is highly unrealistic for an individual to legally own so many cats, which may confuse or mislead children.""
}
"
5,"{
  'question': 'Iron Man has 100 arc reactors. He deploys 20 arc reactors to each of the 5 cities. How many arc reactors does he have left?',
  'answer': '0',
  'appropriateness': 1.0,
  'explanation': 'This question is written at an appropriate mathematical difficulty for K-8 students, contains appropriate language, is not strange or unrealistic within the fictional context of the Iron Man universe, is free from grammar errors and typos, and requires mathematical operations (multiplication and subtraction) to arrive at the final correct answer.'
}"
6,"
{
  ""question"": ""Naruto can run at a top speed of 1200 km/h. He is 1500 km away from the nearest Akatsuki member. How long will it take him to get to the Akatsuki member?"",
  ""answer"": ""1.25"",
  ""appropriateness"": 1.0,
  ""explanation"": ""This question involves a simple division problem, which is suitable for K-8 students. While the context is fictional and the speed is exaggerated, it is within the realm of acceptable exaggeration for a fictional setting. The question doesn’t contain any inappropriate content, grammatical errors, or typos, and requires mathematical operations to arrive at the final correct answer.""
}
"
7,"{'question': 'Wonder Woman has 5 cats. She also has a dog.  Her dog eats 200 grams of food in a day.  If her cats eat 600 grams of food each in a day, how much food does Wonder Woman need to feed her pets?', 'answer': '3200', 'appropriateness': 1.0, 'explanation': 'The question is at an appropriate level of difficulty for students in K-8. It involves multiplication and addition, which are both within the mathematical operations expected to be known at this educational level. The context is realistic, contains no inappropriate language, is free from grammatical errors or typos, and solving the question requires performing mathematical operations.'}"
8,"```
{
  'question': 'Fortnite is a battle royale game. 100 players drop from the battle bus. 50 of them are from the USA, 20 of them are from the UK, 15 of them are from Germany, and the rest are from Canada. How many players are from Canada?',
  'answer': '15',
  'appropriateness': 1.0,
  'explanation': 'This question is written at an appropriate mathematical difficulty for K-8 students, involves basic subtraction, contains appropriate language, is not strange or unrealistic in the context of a game setting, is free from grammar errors and typos, and requires mathematical operations to arrive at the final correct answer.'
}
```"
9,"
{
  ""question"": ""Mentos sell for $3.25 per bag. How much do 4 bags of Mentos cost?"",
  ""answer"": ""5"",
  ""appropriateness"": 0.0,
  ""explanation"": ""This question is flagged as inappropriate because the provided answer, '5', is factually incorrect and does not match the correct calculation of the cost for 4 bags of Mentos. The correct answer should be $13.00, which is obtained by multiplying 4 bags by $3.25 per bag. This might cause confusion as it teaches incorrect mathematics. Additionally, an appropriate response in dollar amount should be given in a format representative of currency, which generally includes two decimal places to represent cents.""
}
"
10,"{'question': 'Wonder Woman has 100 arrows and 1000 bullets. She needs to use all of her arrows and bullets to fight the bad guys. How many total shots can she make?', 'answer': '1100', 'appropriateness': 1.0, 'explanation': 'This question is written at an appropriate mathematical difficulty for K-8 students, containing simple addition, and is free from grammar errors and typos. Although the subject matter involves fighting bad guys, it's presented in a cartoonish, fictional context typical of superhero stories, which are generally considered acceptable for children. The question requires mathematical operations to arrive at the final correct answer.'}"
11,"
{
  ""question"": ""A trainer has 600 Pokémon. He releases 120 of them and then 30% of the remaining Pokémon. How many Pokémon are left?"",
  ""answer"": ""336.0"",
  ""appropriateness"": 1.0,
  ""explanation"": ""This question is suitable for K-8 students. It involves both simple subtraction (600 - 120) and the calculation of a percentage (30%) of the remaining number. These are operations within the realm of what could be expected of K-8 students, and the question does not contain any strange or unrealistic elements, inappropriate content, or grammar issues.""
}
"
12,"{'question': 'Spiderman can climb 200 feet in one minute. How many feet can he climb in 10 minutes?', 'answer': '2000', 'appropriateness': 1.0, 'explanation': 'This question is at an appropriate mathematical difficulty for K-8 students, asking them to perform simple multiplication. It is both realistic within the context of a fictional superhero setting and contains appropriate language. There are no grammar errors or typos, and it requires a mathematical operation to arrive at the final correct answer.'}"
13,"```
{
    'question': '30 people are going to a pizza party. 20 of them are going to eat 3 slices of pizza, 5 of them are going to eat 5 slices of pizza, and the rest of them are going to eat 7 slices of pizza. How many slices of pizza are going to be eaten in total?',
    'answer': '120',
    'appropriateness': 1.0,
    'explanation': 'The question is appropriate for K-8 students as it involves multiplication and addition to calculate the total number of pizza slices eaten by the party guests. The scenario is realistic and relatable, does not contain any inappropriate content, does not have grammatical errors or typos, and requires mathematical operations to solve.'
}
```"
